Data File,C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\02\_13-0358_Escherichia coli__2_37_PMX_438_2#25#2019_A_12B_23.oka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0.0,28.0,19.0,18.0,15.0,14.0,14.0,11.0,11.0,15.0,11.0,16.0,27.0,24.0,19.0,11.0,11.0,21.0,11.0,11.0,11.0,22.0,11.0,11.0,25.0,19.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,17.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,33.0,28.0,14.0,17.0,11.0,11.0,11.0,11.0,52.0,11.0,11.0,14.0
0.25,20.0,16.0,11.0,13.0,11.0,11.0,11.0,11.0,19.0,12.0,17.0,36.0,15.0,12.0,11.0,11.0,24.0,11.0,11.0,11.0,21.0,11.0,11.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0,12.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,58.0,11.0,11.0,12.0
0.5,25.0,19.0,14.0,15.0,12.0,15.0,11.0,13.0,19.0,15.0,19.0,40.0,17.0,14.0,11.0,11.0,24.0,11.0,11.0,11.0,23.0,11.0,11.0,20.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0,11.0,11.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,47.0,11.0,11.0,16.0
0.75,26.0,18.0,13.0,18.0,13.0,16.0,11.0,16.0,21.0,18.0,19.0,41.0,19.0,16.0,11.0,11.0,26.0,11.0,11.0,11.0,23.0,11.0,11.0,19.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,47.0,11.0,12.0,14.0
1.0,25.0,20.0,14.0,19.0,11.0,19.0,11.0,12.0,21.0,17.0,18.0,43.0,19.0,16.0,11.0,11.0,23.0,11.0,11.0,11.0,20.0,11.0,11.0,18.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,18.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,18.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,44.0,11.0,12.0,14.0
1.25,25.0,21.0,16.0,17.0,14.0,19.0,11.0,15.0,22.0,16.0,22.0,42.0,18.0,17.0,11.0,11.0,24.0,11.0,11.0,11.0,21.0,11.0,11.0,18.0,18.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,18.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,18.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,46.0,11.0,12.0,17.0
1.5,27.0,20.0,13.0,18.0,15.0,24.0,11.0,14.0,24.0,19.0,23.0,48.0,18.0,17.0,11.0,11.0,25.0,11.0,11.0,11.0,21.0,11.0,12.0,19.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,19.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,18.0,11.0,11.0,11.0,18.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,48.0,11.0,13.0,18.0
1.75,29.0,23.0,15.0,22.0,17.0,34.0,14.0,18.0,28.0,21.0,28.0,47.0,21.0,26.0,11.0,11.0,28.0,11.0,11.0,11.0,24.0,11.0,15.0,22.0,18.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,21.0,16.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0,19.0,19.0,11.0,11.0,11.0,31.0,11.0,11.0,11.0,11.0,11.0,11.0,26.0,12.0,11.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,16.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,49.0,11.0,15.0,19.0
2.0,29.0,22.0,17.0,23.0,16.0,45.0,11.0,18.0,27.0,21.0,35.0,50.0,22.0,33.0,11.0,11.0,24.0,11.0,11.0,11.0,21.0,11.0,12.0,19.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,16.0,15.0,11.0,11.0,11.0,11.0,11.0,22.0,11.0,11.0,11.0,11.0,17.0,19.0,11.0,11.0,11.0,39.0,11.0,11.0,11.0,11.0,11.0,11.0,26.0,11.0,11.0,28.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,16.0,18.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,48.0,11.0,14.0,18.0
2.25,37.0,26.0,21.0,33.0,21.0,60.0,18.0,25.0,35.0,31.0,43.0,59.0,23.0,44.0,11.0,13.0,26.0,11.0,11.0,12.0,24.0,11.0,14.0,25.0,24.0,12.0,11.0,20.0,11.0,11.0,20.0,11.0,11.0,19.0,18.0,21.0,24.0,11.0,11.0,11.0,11.0,11.0,31.0,11.0,11.0,11.0,11.0,20.0,22.0,11.0,11.0,11.0,49.0,11.0,11.0,11.0,11.0,11.0,11.0,29.0,13.0,11.0,41.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0,21.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,21.0,23.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,48.0,11.0,16.0,26.0
2.5,44.0,28.0,32.0,35.0,30.0,67.0,24.0,28.0,38.0,35.0,46.0,59.0,23.0,45.0,11.0,12.0,27.0,13.0,12.0,11.0,24.0,11.0,19.0,22.0,32.0,18.0,16.0,25.0,13.0,11.0,30.0,11.0,11.0,22.0,22.0,19.0,30.0,11.0,12.0,11.0,11.0,11.0,38.0,11.0,11.0,13.0,11.0,21.0,23.0,11.0,11.0,11.0,57.0,11.0,11.0,11.0,11.0,11.0,11.0,32.0,11.0,14.0,55.0,11.0,11.0,14.0,11.0,11.0,11.0,14.0,11.0,28.0,27.0,20.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0,26.0,30.0,19.0,18.0,11.0,14.0,11.0,11.0,11.0,49.0,11.0,16.0,33.0
2.75,48.0,31.0,37.0,41.0,34.0,82.0,27.0,35.0,43.0,38.0,48.0,64.0,31.0,51.0,11.0,17.0,28.0,12.0,14.0,11.0,23.0,11.0,20.0,23.0,36.0,21.0,19.0,30.0,20.0,11.0,38.0,11.0,12.0,24.0,24.0,19.0,38.0,11.0,17.0,11.0,15.0,11.0,44.0,11.0,15.0,13.0,11.0,19.0,21.0,11.0,11.0,11.0,64.0,11.0,11.0,11.0,11.0,11.0,11.0,35.0,11.0,18.0,63.0,11.0,11.0,16.0,12.0,11.0,11.0,19.0,11.0,32.0,28.0,22.0,13.0,15.0,14.0,12.0,11.0,15.0,11.0,11.0,28.0,29.0,32.0,19.0,23.0,13.0,20.0,11.0,16.0,13.0,50.0,13.0,15.0,36.0
3.0,52.0,35.0,42.0,43.0,42.0,92.0,32.0,43.0,50.0,46.0,55.0,69.0,33.0,58.0,11.0,23.0,30.0,15.0,19.0,14.0,26.0,13.0,26.0,26.0,43.0,25.0,24.0,35.0,27.0,11.0,49.0,15.0,16.0,28.0,27.0,22.0,45.0,11.0,22.0,11.0,19.0,11.0,51.0,14.0,19.0,15.0,11.0,22.0,24.0,11.0,11.0,18.0,72.0,11.0,11.0,13.0,11.0,11.0,11.0,40.0,15.0,23.0,74.0,11.0,13.0,21.0,16.0,11.0,11.0,25.0,14.0,37.0,30.0,27.0,18.0,18.0,16.0,14.0,11.0,19.0,11.0,11.0,32.0,32.0,36.0,22.0,28.0,16.0,20.0,11.0,19.0,15.0,51.0,18.0,19.0,40.0
3.25,54.0,34.0,43.0,43.0,45.0,103.0,35.0,44.0,54.0,47.0,59.0,75.0,39.0,62.0,11.0,25.0,32.0,15.0,19.0,17.0,27.0,13.0,28.0,26.0,44.0,24.0,28.0,37.0,34.0,12.0,58.0,20.0,20.0,30.0,29.0,22.0,48.0,11.0,25.0,11.0,21.0,11.0,54.0,18.0,21.0,17.0,11.0,22.0,25.0,11.0,11.0,19.0,81.0,11.0,11.0,13.0,14.0,11.0,11.0,44.0,14.0,27.0,85.0,14.0,21.0,22.0,19.0,11.0,13.0,28.0,15.0,40.0,31.0,31.0,20.0,19.0,18.0,14.0,11.0,23.0,11.0,11.0,32.0,35.0,36.0,23.0,31.0,19.0,22.0,11.0,20.0,16.0,54.0,19.0,22.0,44.0
3.5,53.0,32.0,43.0,42.0,45.0,106.0,33.0,45.0,51.0,50.0,58.0,75.0,39.0,65.0,11.0,23.0,30.0,15.0,18.0,16.0,24.0,11.0,25.0,37.0,45.0,23.0,29.0,39.0,32.0,12.0,64.0,20.0,21.0,30.0,27.0,19.0,51.0,11.0,23.0,11.0,19.0,11.0,57.0,16.0,20.0,13.0,11.0,23.0,21.0,11.0,11.0,17.0,87.0,11.0,11.0,11.0,11.0,11.0,11.0,45.0,13.0,25.0,88.0,12.0,23.0,21.0,16.0,11.0,11.0,28.0,12.0,41.0,31.0,30.0,17.0,16.0,15.0,13.0,11.0,25.0,11.0,11.0,30.0,31.0,34.0,20.0,28.0,15.0,19.0,11.0,17.0,13.0,54.0,15.0,18.0,45.0
3.75,54.0,33.0,44.0,42.0,45.0,117.0,34.0,48.0,51.0,52.0,58.0,80.0,43.0,72.0,11.0,24.0,30.0,15.0,20.0,17.0,26.0,12.0,27.0,50.0,48.0,25.0,31.0,41.0,34.0,12.0,74.0,18.0,24.0,33.0,29.0,20.0,56.0,11.0,24.0,11.0,20.0,11.0,64.0,20.0,20.0,14.0,11.0,25.0,25.0,12.0,11.0,18.0,97.0,11.0,11.0,14.0,13.0,11.0,11.0,47.0,15.0,26.0,96.0,14.0,28.0,21.0,16.0,11.0,11.0,31.0,14.0,45.0,31.0,32.0,19.0,17.0,19.0,13.0,11.0,26.0,11.0,11.0,30.0,34.0,35.0,21.0,29.0,17.0,21.0,11.0,19.0,14.0,56.0,17.0,19.0,45.0
4.0,59.0,34.0,46.0,45.0,47.0,124.0,35.0,49.0,55.0,53.0,60.0,85.0,44.0,78.0,11.0,27.0,31.0,19.0,18.0,16.0,26.0,14.0,28.0,65.0,50.0,24.0,31.0,41.0,36.0,15.0,80.0,20.0,27.0,35.0,29.0,20.0,61.0,12.0,26.0,11.0,20.0,12.0,66.0,20.0,20.0,15.0,11.0,25.0,24.0,11.0,11.0,21.0,108.0,11.0,11.0,13.0,12.0,11.0,11.0,47.0,15.0,29.0,103.0,15.0,28.0,24.0,18.0,11.0,11.0,31.0,14.0,45.0,32.0,34.0,17.0,17.0,20.0,13.0,11.0,27.0,11.0,11.0,31.0,33.0,38.0,26.0,31.0,17.0,20.0,11.0,20.0,13.0,61.0,17.0,22.0,45.0
4.25,54.0,32.0,44.0,43.0,45.0,127.0,35.0,47.0,52.0,50.0,59.0,85.0,42.0,82.0,11.0,25.0,36.0,18.0,21.0,16.0,26.0,14.0,27.0,76.0,48.0,24.0,30.0,40.0,35.0,16.0,88.0,20.0,31.0,34.0,27.0,21.0,60.0,12.0,25.0,11.0,21.0,11.0,67.0,21.0,21.0,16.0,11.0,27.0,26.0,12.0,11.0,20.0,113.0,11.0,11.0,14.0,13.0,11.0,11.0,47.0,16.0,26.0,109.0,13.0,29.0,23.0,17.0,11.0,12.0,31.0,14.0,43.0,32.0,34.0,17.0,19.0,16.0,16.0,11.0,28.0,11.0,11.0,33.0,32.0,37.0,24.0,30.0,16.0,21.0,11.0,20.0,13.0,65.0,17.0,19.0,45.0
4.5,54.0,35.0,44.0,45.0,46.0,132.0,36.0,48.0,53.0,52.0,59.0,85.0,46.0,91.0,11.0,26.0,40.0,17.0,21.0,16.0,26.0,13.0,27.0,86.0,49.0,25.0,31.0,41.0,36.0,17.0,98.0,21.0,33.0,34.0,28.0,21.0,65.0,12.0,27.0,11.0,20.0,14.0,68.0,20.0,21.0,17.0,11.0,26.0,28.0,12.0,11.0,19.0,121.0,11.0,11.0,13.0,14.0,11.0,11.0,49.0,16.0,27.0,117.0,16.0,31.0,23.0,19.0,11.0,11.0,33.0,16.0,45.0,33.0,36.0,19.0,19.0,20.0,14.0,11.0,27.0,11.0,11.0,31.0,35.0,40.0,22.0,31.0,17.0,20.0,11.0,19.0,13.0,67.0,19.0,20.0,46.0
4.75,57.0,33.0,45.0,46.0,46.0,139.0,36.0,49.0,52.0,53.0,59.0,87.0,47.0,97.0,11.0,29.0,43.0,19.0,22.0,15.0,25.0,14.0,28.0,97.0,48.0,26.0,32.0,43.0,37.0,16.0,106.0,21.0,39.0,33.0,31.0,24.0,67.0,14.0,27.0,11.0,22.0,18.0,69.0,22.0,22.0,16.0,11.0,27.0,28.0,13.0,11.0,21.0,130.0,11.0,11.0,13.0,13.0,11.0,11.0,50.0,20.0,28.0,124.0,17.0,32.0,25.0,18.0,11.0,12.0,34.0,16.0,46.0,36.0,38.0,19.0,21.0,19.0,16.0,11.0,29.0,11.0,11.0,30.0,35.0,43.0,23.0,33.0,18.0,21.0,11.0,20.0,13.0,72.0,17.0,22.0,44.0
5.0,60.0,36.0,48.0,46.0,48.0,144.0,38.0,51.0,55.0,54.0,59.0,88.0,47.0,101.0,11.0,27.0,44.0,21.0,22.0,18.0,26.0,15.0,29.0,103.0,51.0,28.0,32.0,45.0,37.0,18.0,113.0,22.0,41.0,34.0,31.0,23.0,68.0,13.0,28.0,11.0,20.0,24.0,72.0,23.0,23.0,18.0,12.0,27.0,29.0,14.0,11.0,21.0,140.0,11.0,11.0,16.0,16.0,11.0,11.0,52.0,21.0,31.0,130.0,18.0,31.0,26.0,19.0,11.0,14.0,33.0,17.0,48.0,35.0,41.0,19.0,20.0,21.0,18.0,12.0,30.0,11.0,13.0,33.0,35.0,45.0,24.0,34.0,17.0,22.0,11.0,20.0,14.0,77.0,21.0,24.0,47.0
5.25,60.0,38.0,46.0,48.0,48.0,148.0,37.0,52.0,54.0,56.0,60.0,88.0,49.0,106.0,11.0,29.0,45.0,21.0,23.0,17.0,27.0,18.0,30.0,110.0,51.0,27.0,32.0,45.0,39.0,18.0,122.0,22.0,46.0,34.0,30.0,23.0,68.0,15.0,29.0,12.0,22.0,26.0,72.0,24.0,23.0,19.0,13.0,26.0,29.0,14.0,11.0,20.0,145.0,11.0,11.0,13.0,16.0,11.0,11.0,51.0,25.0,30.0,136.0,18.0,33.0,27.0,18.0,11.0,14.0,33.0,18.0,48.0,36.0,40.0,18.0,20.0,23.0,18.0,11.0,32.0,11.0,12.0,33.0,37.0,46.0,24.0,31.0,21.0,22.0,11.0,23.0,17.0,80.0,20.0,24.0,48.0
5.5,58.0,36.0,44.0,46.0,47.0,150.0,37.0,50.0,57.0,55.0,62.0,90.0,47.0,111.0,15.0,29.0,45.0,21.0,23.0,19.0,28.0,18.0,31.0,114.0,50.0,28.0,34.0,45.0,38.0,18.0,127.0,24.0,48.0,36.0,32.0,24.0,66.0,17.0,28.0,15.0,21.0,30.0,71.0,23.0,25.0,18.0,12.0,29.0,31.0,16.0,11.0,22.0,151.0,11.0,11.0,13.0,16.0,11.0,11.0,53.0,25.0,30.0,138.0,19.0,33.0,25.0,19.0,11.0,15.0,33.0,18.0,48.0,34.0,40.0,19.0,22.0,24.0,18.0,12.0,30.0,12.0,13.0,33.0,38.0,45.0,24.0,31.0,21.0,22.0,11.0,19.0,16.0,83.0,21.0,26.0,47.0
5.75,58.0,37.0,47.0,47.0,49.0,152.0,38.0,50.0,56.0,55.0,62.0,88.0,50.0,117.0,14.0,30.0,46.0,22.0,23.0,20.0,28.0,18.0,31.0,119.0,51.0,27.0,35.0,47.0,39.0,19.0,133.0,22.0,52.0,38.0,30.0,24.0,69.0,17.0,30.0,12.0,22.0,37.0,73.0,23.0,24.0,19.0,13.0,29.0,32.0,17.0,11.0,24.0,158.0,11.0,11.0,16.0,18.0,11.0,11.0,53.0,31.0,32.0,145.0,20.0,36.0,29.0,21.0,11.0,16.0,34.0,19.0,48.0,39.0,41.0,20.0,22.0,24.0,19.0,13.0,33.0,11.0,12.0,35.0,38.0,48.0,26.0,32.0,24.0,25.0,12.0,23.0,18.0,88.0,19.0,25.0,46.0
6.0,62.0,37.0,46.0,50.0,47.0,153.0,37.0,50.0,55.0,55.0,61.0,92.0,49.0,123.0,13.0,30.0,47.0,20.0,23.0,19.0,27.0,18.0,32.0,123.0,50.0,28.0,35.0,45.0,40.0,19.0,138.0,24.0,55.0,36.0,31.0,24.0,73.0,17.0,29.0,15.0,22.0,37.0,73.0,23.0,24.0,20.0,11.0,30.0,30.0,18.0,11.0,22.0,163.0,11.0,11.0,15.0,14.0,11.0,11.0,54.0,30.0,30.0,148.0,19.0,34.0,26.0,20.0,11.0,16.0,32.0,19.0,49.0,35.0,41.0,19.0,21.0,23.0,17.0,11.0,31.0,12.0,13.0,33.0,39.0,45.0,25.0,32.0,20.0,22.0,13.0,23.0,16.0,90.0,22.0,25.0,46.0
6.25,59.0,35.0,48.0,47.0,47.0,154.0,39.0,53.0,54.0,55.0,64.0,91.0,49.0,125.0,16.0,30.0,44.0,22.0,24.0,20.0,30.0,18.0,31.0,130.0,50.0,30.0,34.0,45.0,41.0,18.0,144.0,25.0,58.0,36.0,30.0,27.0,72.0,16.0,30.0,15.0,23.0,38.0,73.0,24.0,23.0,20.0,12.0,30.0,32.0,19.0,11.0,24.0,168.0,11.0,11.0,15.0,18.0,11.0,11.0,52.0,34.0,31.0,155.0,17.0,34.0,29.0,23.0,11.0,15.0,33.0,21.0,46.0,37.0,42.0,21.0,23.0,24.0,18.0,12.0,32.0,12.0,12.0,35.0,38.0,45.0,24.0,32.0,20.0,25.0,13.0,23.0,15.0,89.0,23.0,28.0,46.0
6.5,57.0,36.0,48.0,45.0,45.0,151.0,37.0,52.0,56.0,56.0,60.0,88.0,48.0,128.0,15.0,27.0,46.0,20.0,23.0,18.0,25.0,16.0,29.0,132.0,50.0,27.0,32.0,44.0,38.0,17.0,143.0,23.0,62.0,36.0,29.0,24.0,69.0,16.0,26.0,12.0,20.0,36.0,71.0,22.0,23.0,17.0,11.0,28.0,30.0,16.0,11.0,22.0,171.0,11.0,11.0,12.0,16.0,11.0,11.0,52.0,37.0,31.0,157.0,18.0,32.0,25.0,20.0,11.0,13.0,32.0,17.0,46.0,29.0,43.0,18.0,21.0,22.0,16.0,11.0,30.0,11.0,11.0,33.0,37.0,42.0,23.0,31.0,18.0,24.0,11.0,21.0,14.0,84.0,23.0,26.0,45.0
6.75,60.0,37.0,49.0,47.0,49.0,156.0,36.0,52.0,56.0,57.0,61.0,92.0,49.0,134.0,15.0,28.0,46.0,20.0,24.0,19.0,29.0,19.0,30.0,137.0,52.0,29.0,35.0,46.0,39.0,17.0,150.0,24.0,67.0,37.0,31.0,25.0,71.0,17.0,28.0,16.0,20.0,37.0,74.0,24.0,24.0,19.0,13.0,29.0,32.0,18.0,11.0,23.0,176.0,11.0,11.0,16.0,17.0,11.0,11.0,53.0,36.0,31.0,162.0,17.0,33.0,27.0,20.0,11.0,16.0,32.0,20.0,47.0,30.0,43.0,20.0,23.0,26.0,19.0,11.0,31.0,11.0,12.0,32.0,38.0,46.0,24.0,30.0,19.0,24.0,11.0,22.0,16.0,84.0,21.0,27.0,46.0
7.0,60.0,36.0,48.0,46.0,45.0,154.0,36.0,51.0,53.0,53.0,58.0,90.0,48.0,135.0,15.0,31.0,46.0,19.0,23.0,19.0,27.0,17.0,30.0,140.0,50.0,28.0,31.0,45.0,39.0,18.0,151.0,22.0,69.0,34.0,31.0,24.0,70.0,16.0,29.0,14.0,21.0,39.0,75.0,22.0,25.0,19.0,12.0,29.0,33.0,18.0,11.0,23.0,180.0,11.0,11.0,15.0,17.0,11.0,11.0,52.0,42.0,31.0,165.0,20.0,35.0,26.0,20.0,11.0,15.0,34.0,20.0,47.0,29.0,41.0,19.0,22.0,24.0,17.0,12.0,33.0,12.0,12.0,33.0,38.0,47.0,24.0,34.0,20.0,24.0,11.0,22.0,14.0,83.0,23.0,25.0,43.0
7.25,60.0,33.0,47.0,45.0,46.0,156.0,38.0,53.0,54.0,53.0,61.0,89.0,49.0,138.0,14.0,27.0,45.0,17.0,23.0,19.0,28.0,15.0,28.0,143.0,49.0,26.0,32.0,45.0,37.0,17.0,155.0,23.0,72.0,34.0,29.0,26.0,73.0,15.0,28.0,12.0,20.0,35.0,73.0,24.0,23.0,18.0,11.0,26.0,30.0,18.0,11.0,21.0,184.0,11.0,11.0,15.0,16.0,11.0,11.0,54.0,45.0,31.0,169.0,17.0,32.0,25.0,19.0,11.0,16.0,32.0,19.0,48.0,29.0,44.0,18.0,21.0,24.0,16.0,11.0,31.0,11.0,12.0,34.0,37.0,48.0,25.0,30.0,21.0,23.0,11.0,21.0,15.0,85.0,22.0,25.0,45.0
7.5,63.0,37.0,49.0,50.0,50.0,160.0,40.0,53.0,56.0,54.0,63.0,92.0,54.0,144.0,20.0,31.0,48.0,22.0,25.0,22.0,32.0,19.0,31.0,148.0,52.0,30.0,37.0,48.0,41.0,20.0,160.0,23.0,81.0,39.0,32.0,29.0,75.0,20.0,31.0,16.0,24.0,41.0,78.0,26.0,25.0,21.0,14.0,29.0,34.0,21.0,11.0,27.0,190.0,11.0,14.0,19.0,19.0,11.0,11.0,53.0,49.0,35.0,174.0,21.0,38.0,30.0,20.0,13.0,18.0,34.0,21.0,49.0,30.0,47.0,25.0,25.0,26.0,19.0,14.0,35.0,15.0,15.0,34.0,37.0,50.0,30.0,36.0,24.0,26.0,12.0,23.0,18.0,90.0,25.0,27.0,47.0
