Data File,C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\03\_18-9983_Escherichia coli__2_37_PMX_438_3#12#2019_A_15B_29.oka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,27.0,20.0,14.0,14.0,13.0,15.0,11.0,12.0,12.0,13.0,19.0,41.0,20.0,11.0,11.0,11.0,39.0,11.0,11.0,11.0,17.0,11.0,15.0,17.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,11.0,11.0,14.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,49.0,11.0,11.0,14.0
1.25,39.0,28.0,18.0,16.0,19.0,16.0,11.0,11.0,13.0,15.0,18.0,36.0,30.0,13.0,11.0,11.0,40.0,11.0,11.0,11.0,15.0,11.0,12.0,13.0,22.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,24.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,30.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.0,25.0,17.0,11.0,12.0,11.0,11.0,11.0,11.0,16.0,11.0,11.0,20.0,24.0,22.0,11.0,15.0,11.0,11.0,11.0,11.0,11.0,17.0,11.0,18.0,34.0,34.0,17.0,25.0,11.0,11.0,11.0,14.0,49.0,11.0,11.0,25.0
1.5,36.0,25.0,22.0,18.0,17.0,20.0,16.0,19.0,18.0,19.0,26.0,43.0,27.0,19.0,11.0,11.0,40.0,11.0,11.0,11.0,16.0,11.0,15.0,14.0,19.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,18.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0,13.0,24.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,11.0,11.0,14.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,17.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,47.0,11.0,11.0,19.0
1.75,49.0,36.0,32.0,31.0,29.0,36.0,29.0,31.0,31.0,30.0,40.0,54.0,37.0,31.0,11.0,19.0,44.0,19.0,18.0,11.0,20.0,14.0,29.0,19.0,27.0,20.0,21.0,19.0,16.0,18.0,11.0,23.0,17.0,19.0,24.0,16.0,32.0,11.0,20.0,11.0,15.0,11.0,26.0,14.0,11.0,15.0,14.0,16.0,29.0,13.0,12.0,11.0,16.0,11.0,11.0,11.0,17.0,11.0,11.0,31.0,16.0,19.0,17.0,14.0,20.0,13.0,11.0,11.0,18.0,20.0,11.0,20.0,30.0,25.0,13.0,13.0,11.0,11.0,11.0,16.0,11.0,11.0,22.0,20.0,36.0,35.0,20.0,16.0,18.0,12.0,17.0,11.0,49.0,14.0,14.0,29.0
2.0,49.0,32.0,36.0,32.0,31.0,42.0,36.0,35.0,33.0,34.0,44.0,61.0,40.0,35.0,11.0,24.0,47.0,23.0,22.0,11.0,15.0,15.0,37.0,17.0,29.0,27.0,24.0,23.0,20.0,25.0,18.0,29.0,23.0,22.0,26.0,12.0,38.0,11.0,24.0,12.0,19.0,11.0,34.0,18.0,11.0,22.0,17.0,16.0,31.0,11.0,15.0,16.0,17.0,11.0,11.0,14.0,23.0,11.0,11.0,32.0,13.0,23.0,22.0,18.0,29.0,15.0,12.0,11.0,16.0,26.0,11.0,17.0,28.0,28.0,19.0,17.0,11.0,11.0,11.0,23.0,11.0,11.0,25.0,20.0,34.0,30.0,21.0,13.0,20.0,17.0,24.0,12.0,44.0,22.0,13.0,34.0
2.25,56.0,38.0,46.0,37.0,38.0,53.0,43.0,41.0,38.0,39.0,49.0,70.0,42.0,43.0,11.0,31.0,59.0,29.0,26.0,11.0,16.0,21.0,45.0,19.0,33.0,33.0,31.0,29.0,26.0,31.0,23.0,34.0,28.0,28.0,34.0,15.0,49.0,11.0,29.0,22.0,26.0,11.0,43.0,28.0,11.0,25.0,22.0,26.0,36.0,15.0,23.0,20.0,25.0,11.0,11.0,21.0,27.0,11.0,11.0,35.0,17.0,28.0,30.0,25.0,37.0,22.0,14.0,15.0,26.0,36.0,11.0,19.0,33.0,37.0,24.0,21.0,11.0,11.0,11.0,30.0,11.0,11.0,29.0,24.0,38.0,34.0,29.0,20.0,26.0,22.0,30.0,14.0,47.0,24.0,14.0,38.0
2.5,57.0,35.0,47.0,40.0,42.0,61.0,46.0,44.0,43.0,41.0,48.0,73.0,46.0,46.0,11.0,33.0,66.0,34.0,28.0,11.0,19.0,23.0,53.0,23.0,35.0,34.0,33.0,30.0,29.0,33.0,33.0,36.0,30.0,30.0,35.0,16.0,56.0,11.0,33.0,27.0,27.0,11.0,46.0,32.0,11.0,29.0,22.0,26.0,45.0,17.0,25.0,24.0,29.0,11.0,15.0,31.0,30.0,11.0,11.0,37.0,21.0,34.0,35.0,26.0,41.0,24.0,16.0,16.0,34.0,41.0,11.0,20.0,36.0,44.0,22.0,21.0,11.0,11.0,11.0,33.0,11.0,11.0,30.0,24.0,41.0,40.0,29.0,20.0,26.0,24.0,35.0,16.0,47.0,26.0,15.0,44.0
2.75,61.0,36.0,50.0,40.0,42.0,68.0,48.0,45.0,42.0,38.0,50.0,75.0,48.0,48.0,11.0,33.0,69.0,33.0,28.0,11.0,17.0,20.0,56.0,25.0,35.0,34.0,34.0,31.0,32.0,35.0,35.0,36.0,30.0,29.0,36.0,11.0,62.0,11.0,36.0,34.0,28.0,11.0,48.0,35.0,14.0,26.0,22.0,25.0,55.0,20.0,27.0,23.0,35.0,11.0,13.0,37.0,32.0,11.0,11.0,38.0,27.0,36.0,41.0,27.0,42.0,27.0,14.0,15.0,39.0,45.0,11.0,23.0,42.0,50.0,23.0,23.0,11.0,11.0,11.0,35.0,11.0,11.0,29.0,23.0,47.0,43.0,34.0,24.0,31.0,24.0,36.0,16.0,45.0,28.0,15.0,46.0
3.0,58.0,39.0,51.0,44.0,45.0,80.0,52.0,51.0,46.0,43.0,51.0,79.0,49.0,54.0,11.0,38.0,75.0,36.0,31.0,13.0,20.0,27.0,62.0,37.0,37.0,36.0,35.0,33.0,34.0,36.0,42.0,41.0,33.0,31.0,39.0,16.0,66.0,11.0,39.0,34.0,30.0,23.0,55.0,39.0,18.0,30.0,26.0,29.0,61.0,21.0,28.0,26.0,41.0,11.0,15.0,44.0,31.0,11.0,11.0,39.0,30.0,37.0,46.0,30.0,48.0,26.0,18.0,18.0,45.0,50.0,11.0,25.0,41.0,49.0,24.0,24.0,11.0,13.0,11.0,38.0,11.0,11.0,34.0,28.0,46.0,41.0,35.0,23.0,31.0,26.0,39.0,17.0,50.0,29.0,17.0,48.0
3.25,56.0,40.0,51.0,45.0,47.0,90.0,49.0,54.0,46.0,45.0,54.0,84.0,47.0,57.0,14.0,37.0,77.0,38.0,32.0,16.0,21.0,25.0,63.0,41.0,37.0,36.0,34.0,34.0,34.0,35.0,47.0,41.0,35.0,35.0,39.0,19.0,72.0,14.0,38.0,36.0,32.0,34.0,58.0,39.0,18.0,33.0,24.0,32.0,61.0,20.0,30.0,25.0,45.0,11.0,17.0,50.0,33.0,11.0,12.0,40.0,32.0,35.0,51.0,30.0,46.0,27.0,19.0,19.0,50.0,57.0,12.0,25.0,40.0,46.0,26.0,23.0,11.0,14.0,11.0,38.0,11.0,11.0,35.0,28.0,46.0,41.0,33.0,23.0,31.0,28.0,38.0,17.0,49.0,29.0,16.0,48.0
3.5,56.0,38.0,48.0,45.0,45.0,93.0,52.0,56.0,50.0,44.0,53.0,84.0,48.0,60.0,11.0,40.0,79.0,39.0,32.0,16.0,23.0,27.0,64.0,45.0,39.0,38.0,36.0,35.0,34.0,36.0,48.0,41.0,32.0,32.0,41.0,19.0,77.0,14.0,39.0,38.0,31.0,39.0,61.0,40.0,18.0,29.0,27.0,34.0,65.0,20.0,29.0,25.0,49.0,11.0,17.0,56.0,33.0,11.0,12.0,39.0,34.0,36.0,57.0,26.0,46.0,29.0,18.0,18.0,51.0,62.0,11.0,27.0,41.0,49.0,26.0,25.0,11.0,14.0,11.0,39.0,11.0,11.0,35.0,30.0,45.0,39.0,34.0,23.0,32.0,28.0,41.0,19.0,51.0,32.0,20.0,53.0
3.75,67.0,47.0,56.0,48.0,50.0,101.0,52.0,49.0,44.0,40.0,50.0,79.0,57.0,65.0,17.0,38.0,80.0,37.0,30.0,13.0,20.0,24.0,60.0,41.0,45.0,38.0,36.0,32.0,35.0,34.0,53.0,37.0,30.0,28.0,37.0,16.0,90.0,13.0,45.0,37.0,35.0,41.0,61.0,35.0,16.0,25.0,25.0,29.0,62.0,31.0,35.0,31.0,60.0,11.0,16.0,62.0,33.0,11.0,11.0,42.0,46.0,45.0,67.0,37.0,48.0,34.0,18.0,19.0,52.0,64.0,11.0,27.0,52.0,59.0,30.0,31.0,11.0,18.0,11.0,38.0,11.0,11.0,31.0,35.0,59.0,60.0,46.0,39.0,39.0,33.0,40.0,23.0,51.0,29.0,16.0,53.0
4.0,53.0,37.0,47.0,43.0,44.0,106.0,50.0,50.0,45.0,42.0,50.0,83.0,45.0,63.0,11.0,37.0,77.0,37.0,28.0,11.0,18.0,23.0,60.0,47.0,35.0,35.0,31.0,29.0,31.0,33.0,52.0,39.0,29.0,29.0,38.0,21.0,86.0,11.0,36.0,34.0,29.0,44.0,59.0,40.0,17.0,27.0,24.0,30.0,59.0,19.0,26.0,23.0,54.0,11.0,14.0,63.0,31.0,11.0,11.0,39.0,34.0,33.0,64.0,27.0,42.0,26.0,15.0,16.0,47.0,64.0,11.0,23.0,39.0,47.0,26.0,22.0,11.0,12.0,11.0,36.0,11.0,11.0,31.0,30.0,42.0,36.0,33.0,20.0,28.0,25.0,39.0,15.0,48.0,27.0,17.0,49.0
4.25,57.0,40.0,50.0,48.0,48.0,113.0,53.0,56.0,49.0,45.0,55.0,86.0,48.0,70.0,12.0,36.0,78.0,40.0,33.0,14.0,20.0,26.0,65.0,51.0,37.0,38.0,35.0,32.0,35.0,37.0,57.0,41.0,32.0,34.0,39.0,28.0,94.0,14.0,38.0,37.0,30.0,51.0,61.0,41.0,18.0,31.0,26.0,33.0,62.0,20.0,27.0,25.0,64.0,11.0,17.0,67.0,33.0,11.0,11.0,42.0,36.0,34.0,72.0,30.0,47.0,28.0,20.0,17.0,49.0,71.0,13.0,26.0,39.0,53.0,26.0,23.0,11.0,16.0,11.0,39.0,11.0,11.0,33.0,32.0,46.0,38.0,34.0,22.0,31.0,25.0,42.0,18.0,50.0,30.0,20.0,51.0
4.5,58.0,41.0,50.0,49.0,46.0,118.0,53.0,53.0,46.0,43.0,52.0,80.0,48.0,71.0,14.0,38.0,80.0,38.0,30.0,14.0,20.0,24.0,63.0,52.0,39.0,39.0,33.0,32.0,33.0,36.0,62.0,41.0,30.0,30.0,38.0,41.0,99.0,12.0,39.0,38.0,32.0,48.0,60.0,39.0,18.0,27.0,24.0,33.0,60.0,23.0,27.0,27.0,67.0,11.0,16.0,73.0,34.0,11.0,12.0,42.0,37.0,37.0,76.0,29.0,47.0,30.0,19.0,18.0,51.0,74.0,12.0,26.0,43.0,52.0,26.0,26.0,11.0,14.0,11.0,39.0,11.0,11.0,33.0,32.0,47.0,42.0,40.0,24.0,32.0,27.0,40.0,20.0,49.0,30.0,19.0,49.0
4.75,58.0,39.0,47.0,49.0,45.0,123.0,53.0,56.0,48.0,45.0,53.0,85.0,46.0,75.0,14.0,39.0,78.0,40.0,32.0,16.0,22.0,27.0,63.0,56.0,39.0,38.0,34.0,32.0,35.0,37.0,63.0,41.0,32.0,31.0,40.0,53.0,104.0,12.0,39.0,40.0,31.0,49.0,60.0,43.0,17.0,29.0,25.0,33.0,61.0,22.0,28.0,26.0,70.0,11.0,16.0,78.0,34.0,11.0,12.0,46.0,38.0,35.0,80.0,28.0,46.0,30.0,20.0,16.0,49.0,75.0,12.0,28.0,41.0,52.0,28.0,26.0,11.0,16.0,11.0,39.0,11.0,11.0,33.0,33.0,45.0,42.0,35.0,23.0,32.0,27.0,42.0,19.0,49.0,29.0,21.0,51.0
5.0,60.0,39.0,49.0,51.0,50.0,130.0,55.0,55.0,49.0,46.0,55.0,86.0,46.0,79.0,13.0,39.0,80.0,39.0,33.0,14.0,22.0,27.0,66.0,61.0,38.0,40.0,34.0,34.0,34.0,36.0,67.0,43.0,32.0,32.0,41.0,64.0,109.0,17.0,40.0,41.0,32.0,49.0,61.0,42.0,19.0,28.0,29.0,33.0,63.0,22.0,30.0,28.0,75.0,11.0,18.0,83.0,35.0,11.0,14.0,45.0,38.0,38.0,88.0,28.0,49.0,30.0,19.0,19.0,51.0,79.0,15.0,27.0,43.0,56.0,29.0,26.0,11.0,17.0,14.0,41.0,11.0,11.0,35.0,32.0,45.0,44.0,37.0,26.0,32.0,27.0,39.0,19.0,51.0,31.0,23.0,50.0
5.25,64.0,41.0,48.0,49.0,50.0,135.0,55.0,56.0,48.0,44.0,51.0,82.0,47.0,85.0,15.0,39.0,82.0,41.0,32.0,16.0,22.0,27.0,63.0,60.0,39.0,40.0,34.0,31.0,34.0,38.0,69.0,43.0,32.0,34.0,38.0,66.0,114.0,17.0,41.0,39.0,33.0,51.0,61.0,40.0,18.0,30.0,29.0,33.0,60.0,23.0,29.0,28.0,80.0,11.0,18.0,86.0,36.0,11.0,13.0,44.0,40.0,36.0,92.0,30.0,48.0,31.0,21.0,20.0,52.0,81.0,14.0,25.0,43.0,55.0,29.0,28.0,11.0,16.0,11.0,40.0,11.0,11.0,31.0,32.0,47.0,46.0,34.0,26.0,33.0,27.0,40.0,21.0,51.0,33.0,22.0,50.0
5.5,60.0,40.0,48.0,50.0,49.0,139.0,54.0,55.0,46.0,42.0,51.0,83.0,48.0,86.0,12.0,39.0,80.0,41.0,32.0,14.0,23.0,25.0,63.0,63.0,39.0,39.0,34.0,33.0,34.0,37.0,70.0,43.0,30.0,31.0,40.0,64.0,118.0,14.0,39.0,40.0,31.0,50.0,61.0,41.0,19.0,27.0,27.0,34.0,60.0,22.0,27.0,27.0,81.0,11.0,15.0,91.0,35.0,11.0,14.0,43.0,40.0,37.0,96.0,29.0,48.0,29.0,18.0,17.0,50.0,83.0,14.0,24.0,42.0,55.0,27.0,24.0,11.0,16.0,11.0,41.0,11.0,11.0,32.0,32.0,49.0,47.0,35.0,27.0,32.0,28.0,39.0,21.0,48.0,31.0,21.0,47.0
5.75,62.0,38.0,50.0,47.0,50.0,142.0,54.0,54.0,48.0,43.0,50.0,85.0,46.0,88.0,11.0,37.0,77.0,40.0,31.0,15.0,20.0,25.0,62.0,67.0,37.0,37.0,30.0,30.0,33.0,36.0,72.0,42.0,32.0,31.0,39.0,65.0,120.0,14.0,39.0,38.0,32.0,49.0,59.0,39.0,16.0,30.0,26.0,33.0,59.0,22.0,28.0,26.0,87.0,11.0,17.0,94.0,36.0,11.0,13.0,44.0,36.0,35.0,99.0,28.0,46.0,29.0,18.0,18.0,48.0,84.0,15.0,25.0,42.0,52.0,27.0,25.0,11.0,15.0,11.0,40.0,11.0,11.0,32.0,33.0,46.0,46.0,32.0,26.0,31.0,25.0,40.0,18.0,50.0,30.0,21.0,47.0
6.0,63.0,41.0,49.0,51.0,49.0,147.0,56.0,54.0,48.0,43.0,50.0,82.0,50.0,94.0,15.0,38.0,79.0,40.0,31.0,16.0,23.0,27.0,63.0,69.0,40.0,38.0,34.0,31.0,35.0,36.0,72.0,43.0,31.0,31.0,40.0,65.0,125.0,15.0,40.0,40.0,32.0,49.0,63.0,42.0,18.0,28.0,27.0,32.0,59.0,23.0,29.0,28.0,91.0,11.0,18.0,97.0,33.0,11.0,14.0,42.0,40.0,37.0,106.0,31.0,47.0,31.0,21.0,20.0,51.0,85.0,16.0,26.0,45.0,56.0,27.0,27.0,11.0,16.0,11.0,41.0,11.0,11.0,34.0,34.0,46.0,51.0,36.0,27.0,32.0,26.0,39.0,20.0,51.0,31.0,22.0,48.0
6.25,61.0,39.0,47.0,50.0,49.0,152.0,56.0,54.0,49.0,44.0,52.0,86.0,48.0,96.0,11.0,38.0,80.0,40.0,32.0,16.0,21.0,26.0,65.0,74.0,38.0,37.0,32.0,32.0,34.0,36.0,78.0,41.0,31.0,31.0,40.0,66.0,125.0,14.0,40.0,41.0,31.0,49.0,63.0,40.0,18.0,29.0,27.0,34.0,59.0,23.0,28.0,25.0,94.0,11.0,16.0,100.0,34.0,11.0,15.0,43.0,38.0,37.0,108.0,28.0,46.0,29.0,19.0,16.0,51.0,84.0,16.0,26.0,44.0,58.0,28.0,26.0,11.0,16.0,11.0,41.0,11.0,11.0,33.0,33.0,45.0,46.0,35.0,27.0,32.0,26.0,40.0,18.0,50.0,31.0,22.0,48.0
6.5,63.0,39.0,50.0,47.0,50.0,154.0,56.0,55.0,48.0,42.0,51.0,81.0,48.0,95.0,13.0,36.0,79.0,40.0,33.0,15.0,21.0,26.0,64.0,77.0,37.0,39.0,35.0,31.0,35.0,38.0,81.0,40.0,29.0,32.0,37.0,63.0,130.0,15.0,41.0,39.0,31.0,49.0,64.0,39.0,18.0,28.0,26.0,32.0,61.0,27.0,28.0,30.0,100.0,11.0,18.0,106.0,35.0,11.0,14.0,45.0,44.0,41.0,114.0,30.0,50.0,32.0,20.0,18.0,51.0,84.0,15.0,30.0,50.0,60.0,28.0,28.0,11.0,15.0,13.0,39.0,11.0,11.0,33.0,34.0,51.0,59.0,36.0,29.0,32.0,25.0,42.0,21.0,55.0,33.0,20.0,51.0
6.75,63.0,39.0,47.0,49.0,49.0,159.0,55.0,54.0,48.0,42.0,50.0,82.0,48.0,100.0,12.0,39.0,79.0,40.0,32.0,16.0,22.0,27.0,64.0,80.0,36.0,40.0,34.0,31.0,35.0,37.0,81.0,42.0,30.0,31.0,39.0,65.0,131.0,14.0,41.0,38.0,34.0,49.0,63.0,39.0,18.0,29.0,25.0,33.0,61.0,23.0,28.0,26.0,103.0,11.0,17.0,108.0,32.0,11.0,13.0,44.0,41.0,35.0,113.0,28.0,48.0,30.0,18.0,18.0,50.0,86.0,15.0,24.0,46.0,54.0,26.0,26.0,11.0,15.0,11.0,38.0,11.0,11.0,33.0,33.0,46.0,50.0,37.0,25.0,32.0,26.0,41.0,20.0,50.0,34.0,23.0,49.0
7.0,68.0,44.0,50.0,53.0,52.0,163.0,56.0,57.0,49.0,46.0,54.0,86.0,50.0,107.0,13.0,42.0,83.0,41.0,33.0,19.0,25.0,28.0,65.0,86.0,43.0,41.0,36.0,33.0,37.0,39.0,84.0,44.0,32.0,33.0,41.0,68.0,138.0,18.0,43.0,42.0,34.0,54.0,64.0,43.0,21.0,31.0,29.0,36.0,64.0,26.0,30.0,28.0,110.0,11.0,19.0,113.0,35.0,11.0,17.0,46.0,42.0,39.0,116.0,33.0,51.0,33.0,21.0,21.0,53.0,90.0,19.0,27.0,46.0,58.0,28.0,26.0,11.0,17.0,13.0,42.0,13.0,11.0,35.0,36.0,50.0,47.0,38.0,30.0,36.0,29.0,42.0,23.0,53.0,37.0,24.0,48.0
7.25,61.0,40.0,48.0,50.0,50.0,163.0,56.0,57.0,47.0,41.0,51.0,84.0,48.0,104.0,12.0,39.0,80.0,39.0,33.0,16.0,23.0,26.0,64.0,87.0,37.0,39.0,35.0,32.0,35.0,39.0,87.0,41.0,33.0,31.0,38.0,67.0,137.0,16.0,39.0,41.0,34.0,51.0,65.0,41.0,19.0,29.0,26.0,33.0,61.0,24.0,29.0,26.0,112.0,11.0,20.0,117.0,35.0,11.0,14.0,47.0,42.0,39.0,123.0,30.0,51.0,30.0,20.0,19.0,50.0,87.0,16.0,27.0,44.0,59.0,27.0,26.0,11.0,15.0,13.0,39.0,11.0,11.0,33.0,34.0,49.0,42.0,36.0,28.0,33.0,29.0,41.0,21.0,54.0,36.0,24.0,51.0
7.5,62.0,39.0,51.0,49.0,49.0,167.0,57.0,58.0,48.0,43.0,53.0,85.0,47.0,107.0,12.0,39.0,81.0,40.0,31.0,15.0,22.0,25.0,65.0,91.0,38.0,40.0,34.0,32.0,34.0,37.0,87.0,43.0,31.0,32.0,41.0,67.0,141.0,15.0,42.0,39.0,32.0,51.0,65.0,40.0,16.0,29.0,26.0,32.0,62.0,22.0,29.0,27.0,117.0,11.0,17.0,119.0,33.0,11.0,12.0,45.0,41.0,37.0,130.0,27.0,51.0,30.0,20.0,19.0,49.0,86.0,15.0,27.0,44.0,58.0,27.0,26.0,11.0,15.0,12.0,41.0,11.0,11.0,33.0,32.0,46.0,41.0,34.0,28.0,32.0,28.0,43.0,18.0,53.0,37.0,24.0,49.0
