Model Type	Data Type	Prediction	Avg. Accuracy	Std. Deviation Accuracy	# Pos. Samples	# Neg. Samples	# of runs	Avg. Run Time
Neural Network	Omnilog AUC	Human/Non-Human	0.734420289855	0.06890824287219999	44	73	10	2.4554104566599997
Random Forest Classifier	K-mer Counts	Human/Non-Human	0.579166666667	0.06574889099190001	44	73	10	2.0346565723400003
Random Forest Classifier	Omnilog AUC	Human/Non-Human	0.7119565217389999	0.111724115046	44	73	10	1.5660873651499998
Support Vector Machine	K-mer Counts	Human/Non-Human	0.6875	0.0625	44	73	10	1.4148720264399999
Support Vector Machine	Omnilog AUC	Human/Non-Human	0.6978260869570001	0.0878531670118	44	73	10	1.9843873024
Neural Network	K-mer Counts	NM/Non-NM	0.907142857143	0.039769745448800006	20	123	10	92.95655026440001
Neural Network	Omnilog AUC	NM/Non-NM	0.899735449735	0.044444444444399996	20	123	10	4.9020252943000004
Random Forest Classifier	K-mer Counts	NM/Non-NM	0.910714285714	0.04300569492430001	20	123	10	85.586686945
Random Forest Classifier	Omnilog AUC	NM/Non-NM	0.866005291005	0.0230329712078	20	123	10	1.4705663681
Support Vector Machine	K-mer Counts	NM/Non-NM	0.907142857143	0.042857142857099996	20	123	10	86.09141201969999
Support Vector Machine	Omnilog AUC	NM/Non-NM	0.8666666666670001	0.0514031443664	20	123	10	0.7971394062039999
Neural Network	K-mer Counts	O103/Non-O103	0.960714285714	0.025	10	133	10	70.9782840014
Neural Network	Omnilog AUC	O103/Non-O103	0.934788359788	0.0224248290937	10	133	10	2.07079193592
Random Forest Classifier	K-mer Counts	O103/Non-O103	0.946428571429	0.0239578711875	10	133	10	67.8817462683
Random Forest Classifier	Omnilog AUC	O103/Non-O103	0.934920634921	0.014727159428299998	10	133	10	1.51953780651
Support Vector Machine	K-mer Counts	O103/Non-O103	0.975	0.0278937488425	10	133	10	65.3991180658
Support Vector Machine	Omnilog AUC	O103/Non-O103	0.9025132275130001	0.0313358085362	10	133	10	0.836999511719
Neural Network	K-mer Counts	O103:H2/Non-O103:H2	0.958620689655	0.0258045337019	9	134	10	3.16686496735
Neural Network	Omnilog AUC	O103:H2/Non-O103:H2	0.941256157635	0.030940754939	9	134	10	5.1045892000199995
Random Forest Classifier	K-mer Counts	O103:H2/Non-O103:H2	0.965517241379	0.0267102299738	9	134	10	2.2068919420200004
Random Forest Classifier	Omnilog AUC	O103:H2/Non-O103:H2	0.9273399014779999	0.0102889648149	9	134	10	1.48371636868
Support Vector Machine	K-mer Counts	O103:H2/Non-O103:H2	0.9793103448280001	0.0168930327088	9	134	10	89.56571359629999
Support Vector Machine	Omnilog AUC	O103:H2/Non-O103:H2	0.930541871921	0.021831053996200004	9	134	10	0.788805222511
Neural Network	K-mer Counts	O104/Non-O104	0.955172413793	0.0310344827586	9	134	10	74.40069341659999
Neural Network	Omnilog AUC	O104/Non-O104	0.9137931034479999	0.0231317376983	9	134	10	2.1274673223500002
Random Forest Classifier	K-mer Counts	O104/Non-O104	0.944827586207	0.03160397031000001	9	134	10	67.7785217524
Random Forest Classifier	Omnilog AUC	O104/Non-O104	0.93078817734	0.000738916256158	9	134	10	1.50454809666
Support Vector Machine	K-mer Counts	O104/Non-O104	0.944827586207	0.0228732744162	9	134	10	66.72370274069999
Support Vector Machine	Omnilog AUC	O104/Non-O104	0.8944581280789999	0.0425012472107	9	134	10	0.791822862625
Neural Network	K-mer Counts	O111/Non-O111	0.9827586206899999	0.0231317376983	9	134	10	78.1075644732
Neural Network	Omnilog AUC	O111/Non-O111	0.9379310344830001	0.013793103448299999	9	134	10	2.34632167816
Random Forest Classifier	K-mer Counts	O111/Non-O111	0.931034482759	0.030842316930999997	9	134	10	68.0529740095
Random Forest Classifier	Omnilog AUC	O111/Non-O111	0.930295566502	0.00112871322536	9	134	10	1.46082801819
Support Vector Machine	K-mer Counts	O111/Non-O111	0.9758620689659999	0.022079738749799998	9	134	10	67.44649057390001
Support Vector Machine	Omnilog AUC	O111/Non-O111	0.9131773399009999	0.0174098907982	9	134	10	0.797019886971
Neural Network	K-mer Counts	O113/Non-O113	0.964285714286	0.0225876975726	10	133	10	79.7036359549
Neural Network	Omnilog AUC	O113/Non-O113	0.942857142857	0.0174963553056	10	133	10	2.6171750783900003
Random Forest Classifier	K-mer Counts	O113/Non-O113	0.9357142857140001	0.0267261241912	10	133	10	68.2295625925
Random Forest Classifier	Omnilog AUC	O113/Non-O113	0.931084656085	0.0111370634179	10	133	10	1.52829003334
Support Vector Machine	K-mer Counts	O113/Non-O113	0.967857142857	0.0192327314541	10	133	10	67.306306386
Support Vector Machine	Omnilog AUC	O113/Non-O113	0.93544973545	0.026808485323900004	10	133	10	0.793549966812
Neural Network	K-mer Counts	O113:H21/Non-O113:H21	0.9724137931029999	0.0258045337019	6	137	10	3.3775607109099997
Neural Network	Omnilog AUC	O113:H21/Non-O113:H21	0.930541871921	0.000985221674877	6	137	10	5.10676960945
Random Forest Classifier	K-mer Counts	O113:H21/Non-O113:H21	0.931034482759	0.015421158465499999	6	137	10	2.23034088612
Random Forest Classifier	Omnilog AUC	O113:H21/Non-O113:H21	0.93078817734	0.000738916256158	6	137	10	1.53312749863
Support Vector Machine	K-mer Counts	O113:H21/Non-O113:H21	0.9724137931029999	0.0258045337019	6	137	10	90.4556495428
Support Vector Machine	Omnilog AUC	O113:H21/Non-O113:H21	0.9373152709360001	0.0138287935509	6	137	10	0.786669588089
Neural Network	K-mer Counts	O121/Non-O121	0.965517241379	0.0267102299738	9	134	10	82.1630742788
Neural Network	Omnilog AUC	O121/Non-O121	0.972044334975	0.0208200937491	9	134	10	2.7791298627900005
Random Forest Classifier	K-mer Counts	O121/Non-O121	0.958620689655	0.020689655172400002	9	134	10	68.5059921026
Random Forest Classifier	Omnilog AUC	O121/Non-O121	0.958497536946	0.013736358468799998	9	134	10	1.49459385872
Support Vector Machine	K-mer Counts	O121/Non-O121	0.958620689655	0.030061372024400002	9	134	10	67.8190549374
Support Vector Machine	Omnilog AUC	O121/Non-O121	0.979064039409	0.0171000541455	9	134	10	0.7912457227709999
Neural Network	K-mer Counts	O121:H19/Non-O121:H19	0.989285714286	0.0163663417677	5	138	10	3.5976135015499997
Neural Network	Omnilog AUC	O121:H19/Non-O121:H19	0.978571428571	0.0174963553056	5	138	10	5.47042777538
Random Forest Classifier	K-mer Counts	O121:H19/Non-O121:H19	0.985714285714	0.0174963553056	5	138	10	2.2164668083200003
Random Forest Classifier	Omnilog AUC	O121:H19/Non-O121:H19	0.96746031746	0.0108626799829	5	138	10	1.4503497123700002
Support Vector Machine	K-mer Counts	O121:H19/Non-O121:H19	0.9928571428569999	0.0142857142857	5	138	10	90.75376167299999
Support Vector Machine	Omnilog AUC	O121:H19/Non-O121:H19	0.9714285714290001	0.0142857142857	5	138	10	0.789289498329
Neural Network	K-mer Counts	O145/Non-O145	0.9714285714290001	0.0214285714286	10	133	10	83.8363451242
Neural Network	Omnilog AUC	O145/Non-O145	0.9494708994709999	0.023785996606299997	10	133	10	2.97338221073
Random Forest Classifier	K-mer Counts	O145/Non-O145	0.975	0.0163663417677	10	133	10	68.1662962914
Random Forest Classifier	Omnilog AUC	O145/Non-O145	0.9314814814810001	0.0201197389861	10	133	10	1.50498421192
Support Vector Machine	K-mer Counts	O145/Non-O145	0.967857142857	0.0107142857143	10	133	10	67.7348529816
Support Vector Machine	Omnilog AUC	O145/Non-O145	0.932142857143	0.025	10	133	10	0.7981408834460001
Neural Network	K-mer Counts	O145:NM/Non-O145:NM	0.9793103448280001	0.0228732744162	9	134	10	3.8879888057699996
Neural Network	Omnilog AUC	O145:NM/Non-O145:NM	0.958497536946	0.013736358468799998	9	134	10	5.63456847668
Random Forest Classifier	K-mer Counts	O145:NM/Non-O145:NM	0.9724137931029999	0.013793103448299999	9	134	10	2.247210145
Random Forest Classifier	Omnilog AUC	O145:NM/Non-O145:NM	0.940517241379	0.0161330049261	9	134	10	1.50020999908
Support Vector Machine	K-mer Counts	O145:NM/Non-O145:NM	0.9758620689659999	0.0269318954342	9	134	10	90.4862609863
Support Vector Machine	Omnilog AUC	O145:NM/Non-O145:NM	0.954802955665	0.027116257875900003	9	134	10	0.7866932392120001
Neural Network	K-mer Counts	O157/Non-O157	0.9724137931029999	0.0258045337019	47	96	10	84.5496290684
Neural Network	Omnilog AUC	O157/Non-O157	0.975615763547	0.022200304116700004	47	96	10	3.1994812488599997
Random Forest Classifier	K-mer Counts	O157/Non-O157	0.9689655172409999	0.024137931034499998	47	96	10	68.1044963121
Random Forest Classifier	Omnilog AUC	O157/Non-O157	0.9653940886700001	0.030844529709200003	47	96	10	1.47256758213
Support Vector Machine	K-mer Counts	O157/Non-O157	0.989655172414	0.022079738749799998	47	96	10	67.5414000988
Support Vector Machine	Omnilog AUC	O157/Non-O157	0.9788177339899999	0.0281467935292	47	96	10	0.796300911903
Neural Network	K-mer Counts	O157:H7/Non-O157:H7	0.9827586206899999	0.0172413793103	46	97	10	4.18285870552
Neural Network	Omnilog AUC	O157:H7/Non-O157:H7	0.961945812808	0.024123160756900002	46	97	10	5.700048637389999
Random Forest Classifier	K-mer Counts	O157:H7/Non-O157:H7	0.9724137931029999	0.0258045337019	46	97	10	2.23650238514
Random Forest Classifier	Omnilog AUC	O157:H7/Non-O157:H7	0.9615763546799999	0.039783472039600004	46	97	10	1.5939704179799998
Support Vector Machine	K-mer Counts	O157:H7/Non-O157:H7	0.9827586206899999	0.0231317376983	46	97	10	91.2975181103
Support Vector Machine	Omnilog AUC	O157:H7/Non-O157:H7	0.951477832512	0.038537944182199996	46	97	10	0.790179276466
Neural Network	K-mer Counts	O26/Non-O26	0.964285714286	0.0451753951453	11	132	10	89.35617480280001
Neural Network	Omnilog AUC	O26/Non-O26	0.964021164021	0.0322480153237	11	132	10	3.54819078445
Random Forest Classifier	K-mer Counts	O26/Non-O26	0.960714285714	0.0336927897573	11	132	10	68.4696148396
Random Forest Classifier	Omnilog AUC	O26/Non-O26	0.934656084656	0.014861980852099999	11	132	10	1.54780488014
Support Vector Machine	K-mer Counts	O26/Non-O26	0.942857142857	0.04844521416519999	11	132	10	67.748506856
Support Vector Machine	Omnilog AUC	O26/Non-O26	0.953439153439	0.0278457218934	11	132	10	0.787124991417
Neural Network	K-mer Counts	O26:H11/Non-O26:H11	0.975	0.0278937488425	11	132	10	4.45145950317
Neural Network	Omnilog AUC	O26:H11/Non-O26:H11	0.939153439153	0.032042268632	11	132	10	5.99699504375
Random Forest Classifier	K-mer Counts	O26:H11/Non-O26:H11	0.9571428571430001	0.0311349924539	11	132	10	2.36118631363
Random Forest Classifier	Omnilog AUC	O26:H11/Non-O26:H11	0.935185185185	0.0145862949758	11	132	10	1.4873547315600002
Support Vector Machine	K-mer Counts	O26:H11/Non-O26:H11	0.964285714286	0.0225876975726	11	132	10	89.7531110287
Support Vector Machine	Omnilog AUC	O26:H11/Non-O26:H11	0.924206349206	0.029595655597900002	11	132	10	0.795745873451
Neural Network	K-mer Counts	O45/Non-O45	0.958620689655	0.020689655172400002	7	136	10	86.2336582184
Neural Network	Omnilog AUC	O45/Non-O45	0.91724137931	0.0228732744162	7	136	10	3.6898652792
Random Forest Classifier	K-mer Counts	O45/Non-O45	0.931034482759	0.015421158465499999	7	136	10	67.6833471298
Random Forest Classifier	Omnilog AUC	O45/Non-O45	0.930541871921	0.000985221674877	7	136	10	1.5667104005799999
Support Vector Machine	K-mer Counts	O45/Non-O45	0.944827586207	0.03160397031000001	7	136	10	66.9851675034
Support Vector Machine	Omnilog AUC	O45/Non-O45	0.9269704433499999	0.0191742875719	7	136	10	0.795507907867
Neural Network	K-mer Counts	O45:H2/Non-O45:H2	0.9379310344830001	0.0337860654177	6	137	10	4.76190090179
Neural Network	Omnilog AUC	O45:H2/Non-O45:H2	0.920073891626	0.016249158815799997	6	137	10	6.11079843044
Random Forest Classifier	K-mer Counts	O45:H2/Non-O45:H2	0.91724137931	0.027586206896599998	6	137	10	2.3511861085900003
Random Forest Classifier	Omnilog AUC	O45:H2/Non-O45:H2	0.931034482759	0.0	6	137	10	1.56521685123
Support Vector Machine	K-mer Counts	O45:H2/Non-O45:H2	0.958620689655	0.0402134613438	6	137	10	90.1869648933
Support Vector Machine	Omnilog AUC	O45:H2/Non-O45:H2	0.916995073892	0.027472716937599995	6	137	10	0.789928007126
Neural Network	K-mer Counts	O91/Non-O91	0.985714285714	0.0285714285714	10	133	10	89.0949277878
Neural Network	Omnilog AUC	O91/Non-O91	0.931216931217	0.043798851037499996	10	133	10	3.8722915411
Random Forest Classifier	K-mer Counts	O91/Non-O91	0.9714285714290001	0.0311349924539	10	133	10	67.4130599499
Random Forest Classifier	Omnilog AUC	O91/Non-O91	0.931613756614	0.019359675569500003	10	133	10	1.5697323322299999
Support Vector Machine	K-mer Counts	O91/Non-O91	0.9964285714290001	0.0107142857143	10	133	10	67.3745401382
Support Vector Machine	Omnilog AUC	O91/Non-O91	0.924867724868	0.0335405501732	10	133	10	0.7997389078139999
Neural Network	K-mer Counts	O91:H21/Non-O91:H21	0.996551724138	0.010344827586200001	8	135	10	4.93835635185
Neural Network	Omnilog AUC	O91:H21/Non-O91:H21	0.947783251232	0.017260721030000002	8	135	10	6.567590618130001
Random Forest Classifier	K-mer Counts	O91:H21/Non-O91:H21	0.986206896552	0.0168930327088	8	135	10	2.2878383159599998
Random Forest Classifier	Omnilog AUC	O91:H21/Non-O91:H21	0.9403940886700002	0.0164785504273	8	135	10	1.5678034067200002
Support Vector Machine	K-mer Counts	O91:H21/Non-O91:H21	0.9758620689659999	0.0269318954342	8	135	10	89.5078767061
Support Vector Machine	Omnilog AUC	O91:H21/Non-O91:H21	0.9241379310340001	0.0337860654177	8	135	10	0.7876285076139999
