,Model Type,Data Type,Otype,Accuracy
48,Support Vector Machine,K-mer Count,O121,0.965517241379
49,Support Vector Machine,K-mer Count,O121,1.0
50,Support Vector Machine,K-mer Count,O145,0.964285714286
51,Support Vector Machine,K-mer Count,O145,0.964285714286
52,Support Vector Machine,K-mer Count,O145,0.964285714286
53,Support Vector Machine,K-mer Count,O145,0.964285714286
54,Support Vector Machine,K-mer Count,O145,1.0
55,Support Vector Machine,K-mer Count,O145,0.964285714286
56,Support Vector Machine,K-mer Count,O145,0.964285714286
57,Support Vector Machine,K-mer Count,O145,0.964285714286
58,Support Vector Machine,K-mer Count,O145,0.964285714286
59,Support Vector Machine,K-mer Count,O145,0.964285714286
60,Support Vector Machine,K-mer Count,O157,1.0
61,Support Vector Machine,K-mer Count,O157,1.0
62,Support Vector Machine,K-mer Count,O157,1.0
63,Support Vector Machine,K-mer Count,O157,1.0
64,Support Vector Machine,K-mer Count,O157,0.931034482759
65,Support Vector Machine,K-mer Count,O157,0.965517241379
66,Support Vector Machine,K-mer Count,O157,1.0
67,Support Vector Machine,K-mer Count,O157,1.0
68,Support Vector Machine,K-mer Count,O157,1.0
69,Support Vector Machine,K-mer Count,O157,1.0
70,Support Vector Machine,K-mer Count,O26,0.964285714286
71,Support Vector Machine,K-mer Count,O26,0.964285714286
72,Support Vector Machine,K-mer Count,O26,0.964285714286
73,Support Vector Machine,K-mer Count,O26,0.857142857143
74,Support Vector Machine,K-mer Count,O26,1.0
75,Support Vector Machine,K-mer Count,O26,0.928571428571
76,Support Vector Machine,K-mer Count,O26,0.928571428571
77,Support Vector Machine,K-mer Count,O26,0.964285714286
78,Support Vector Machine,K-mer Count,O26,0.857142857143
79,Support Vector Machine,K-mer Count,O26,1.0
80,Support Vector Machine,K-mer Count,O45,0.965517241379
81,Support Vector Machine,K-mer Count,O45,1.0
82,Support Vector Machine,K-mer Count,O45,0.965517241379
83,Support Vector Machine,K-mer Count,O45,0.965517241379
84,Support Vector Machine,K-mer Count,O45,0.896551724138
85,Support Vector Machine,K-mer Count,O45,0.965517241379
86,Support Vector Machine,K-mer Count,O45,0.896551724138
87,Support Vector Machine,K-mer Count,O45,0.931034482759
88,Support Vector Machine,K-mer Count,O45,0.931034482759
89,Support Vector Machine,K-mer Count,O45,0.931034482759
90,Support Vector Machine,K-mer Count,O91,1.0
91,Support Vector Machine,K-mer Count,O91,1.0
92,Support Vector Machine,K-mer Count,O91,1.0
93,Support Vector Machine,K-mer Count,O91,1.0
94,Support Vector Machine,K-mer Count,O91,1.0
95,Support Vector Machine,K-mer Count,O91,1.0
96,Support Vector Machine,K-mer Count,O91,0.964285714286
97,Support Vector Machine,K-mer Count,O91,1.0
98,Support Vector Machine,K-mer Count,O91,1.0
99,Support Vector Machine,K-mer Count,O91,1.0
100,Random Forest,K-mer Count,O103,0.928571428571
101,Random Forest,K-mer Count,O103,0.928571428571
102,Random Forest,K-mer Count,O103,0.964285714286
103,Random Forest,K-mer Count,O103,0.964285714286
104,Random Forest,K-mer Count,O103,0.928571428571
105,Random Forest,K-mer Count,O103,1.0
106,Random Forest,K-mer Count,O103,0.964285714286
107,Random Forest,K-mer Count,O103,0.928571428571
108,Random Forest,K-mer Count,O103,0.928571428571
109,Random Forest,K-mer Count,O103,0.928571428571
110,Random Forest,K-mer Count,O104,0.931034482759
111,Random Forest,K-mer Count,O104,0.896551724138
112,Random Forest,K-mer Count,O104,0.965517241379
113,Random Forest,K-mer Count,O104,0.965517241379
114,Random Forest,K-mer Count,O104,0.965517241379
115,Random Forest,K-mer Count,O104,0.931034482759
116,Random Forest,K-mer Count,O104,0.965517241379
117,Random Forest,K-mer Count,O104,0.896551724138
118,Random Forest,K-mer Count,O104,0.931034482759
119,Random Forest,K-mer Count,O104,1.0
120,Random Forest,K-mer Count,O111,0.965517241379
121,Random Forest,K-mer Count,O111,0.896551724138
122,Random Forest,K-mer Count,O111,0.965517241379
123,Random Forest,K-mer Count,O111,0.931034482759
124,Random Forest,K-mer Count,O111,0.931034482759
125,Random Forest,K-mer Count,O111,0.931034482759
126,Random Forest,K-mer Count,O111,0.931034482759
127,Random Forest,K-mer Count,O111,0.931034482759
128,Random Forest,K-mer Count,O111,0.965517241379
129,Random Forest,K-mer Count,O111,0.862068965517
130,Random Forest,K-mer Count,O113,0.928571428571
131,Random Forest,K-mer Count,O113,0.928571428571
132,Random Forest,K-mer Count,O113,1.0
133,Random Forest,K-mer Count,O113,0.928571428571
134,Random Forest,K-mer Count,O113,0.928571428571
135,Random Forest,K-mer Count,O113,0.964285714286
136,Random Forest,K-mer Count,O113,0.928571428571
137,Random Forest,K-mer Count,O113,0.928571428571
138,Random Forest,K-mer Count,O113,0.928571428571
139,Random Forest,K-mer Count,O113,0.892857142857
140,Random Forest,K-mer Count,O121,0.965517241379
141,Random Forest,K-mer Count,O121,0.965517241379
142,Random Forest,K-mer Count,O121,0.931034482759
143,Random Forest,K-mer Count,O121,0.965517241379
144,Random Forest,K-mer Count,O121,0.965517241379
145,Random Forest,K-mer Count,O121,0.931034482759
146,Random Forest,K-mer Count,O121,1.0
147,Random Forest,K-mer Count,O121,0.965517241379
148,Random Forest,K-mer Count,O121,0.965517241379
149,Random Forest,K-mer Count,O121,0.931034482759
150,Random Forest,K-mer Count,O145,0.964285714286
151,Random Forest,K-mer Count,O145,0.964285714286
152,Random Forest,K-mer Count,O145,0.964285714286
153,Random Forest,K-mer Count,O145,0.964285714286
154,Random Forest,K-mer Count,O145,0.964285714286
155,Random Forest,K-mer Count,O145,1.0
156,Random Forest,K-mer Count,O145,0.964285714286
157,Random Forest,K-mer Count,O145,1.0
158,Random Forest,K-mer Count,O145,1.0
159,Random Forest,K-mer Count,O145,0.964285714286
160,Random Forest,K-mer Count,O157,1.0
161,Random Forest,K-mer Count,O157,0.931034482759
162,Random Forest,K-mer Count,O157,0.965517241379
163,Random Forest,K-mer Count,O157,1.0
164,Random Forest,K-mer Count,O157,1.0
165,Random Forest,K-mer Count,O157,0.931034482759
166,Random Forest,K-mer Count,O157,0.965517241379
167,Random Forest,K-mer Count,O157,0.965517241379
168,Random Forest,K-mer Count,O157,0.965517241379
169,Random Forest,K-mer Count,O157,0.965517241379
170,Random Forest,K-mer Count,O26,0.964285714286
171,Random Forest,K-mer Count,O26,0.892857142857
172,Random Forest,K-mer Count,O26,1.0
173,Random Forest,K-mer Count,O26,1.0
174,Random Forest,K-mer Count,O26,0.964285714286
175,Random Forest,K-mer Count,O26,0.964285714286
176,Random Forest,K-mer Count,O26,0.928571428571
177,Random Forest,K-mer Count,O26,1.0
178,Random Forest,K-mer Count,O26,0.928571428571
179,Random Forest,K-mer Count,O26,0.964285714286
180,Random Forest,K-mer Count,O45,0.931034482759
181,Random Forest,K-mer Count,O45,0.931034482759
182,Random Forest,K-mer Count,O45,0.931034482759
183,Random Forest,K-mer Count,O45,0.931034482759
184,Random Forest,K-mer Count,O45,0.896551724138
185,Random Forest,K-mer Count,O45,0.931034482759
186,Random Forest,K-mer Count,O45,0.931034482759
187,Random Forest,K-mer Count,O45,0.931034482759
188,Random Forest,K-mer Count,O45,0.931034482759
189,Random Forest,K-mer Count,O45,0.965517241379
190,Random Forest,K-mer Count,O91,0.928571428571
191,Random Forest,K-mer Count,O91,1.0
192,Random Forest,K-mer Count,O91,1.0
193,Random Forest,K-mer Count,O91,1.0
194,Random Forest,K-mer Count,O91,1.0
195,Random Forest,K-mer Count,O91,0.928571428571
196,Random Forest,K-mer Count,O91,0.928571428571
197,Random Forest,K-mer Count,O91,0.964285714286
198,Random Forest,K-mer Count,O91,0.964285714286
199,Random Forest,K-mer Count,O91,1.0
200,Neural Network,K-mer Count,O103,0.964285714286
201,Neural Network,K-mer Count,O103,1.0
202,Neural Network,K-mer Count,O103,0.928571428571
203,Neural Network,K-mer Count,O103,0.928571428571
204,Neural Network,K-mer Count,O103,0.928571428571
205,Neural Network,K-mer Count,O103,0.964285714286
206,Neural Network,K-mer Count,O103,1.0
207,Neural Network,K-mer Count,O103,0.964285714286
208,Neural Network,K-mer Count,O103,0.964285714286
209,Neural Network,K-mer Count,O103,0.964285714286
210,Neural Network,K-mer Count,O104,0.965517241379
211,Neural Network,K-mer Count,O104,1.0
212,Neural Network,K-mer Count,O104,0.931034482759
213,Neural Network,K-mer Count,O104,0.896551724138
214,Neural Network,K-mer Count,O104,0.931034482759
215,Neural Network,K-mer Count,O104,0.931034482759
216,Neural Network,K-mer Count,O104,0.965517241379
217,Neural Network,K-mer Count,O104,0.965517241379
218,Neural Network,K-mer Count,O104,0.965517241379
219,Neural Network,K-mer Count,O104,1.0
220,Neural Network,K-mer Count,O111,1.0
221,Neural Network,K-mer Count,O111,1.0
222,Neural Network,K-mer Count,O111,1.0
223,Neural Network,K-mer Count,O111,1.0
224,Neural Network,K-mer Count,O111,0.965517241379
225,Neural Network,K-mer Count,O111,0.931034482759
226,Neural Network,K-mer Count,O111,1.0
227,Neural Network,K-mer Count,O111,1.0
228,Neural Network,K-mer Count,O111,0.965517241379
229,Neural Network,K-mer Count,O111,0.965517241379
230,Neural Network,K-mer Count,O113,0.964285714286
231,Neural Network,K-mer Count,O113,0.964285714286
232,Neural Network,K-mer Count,O113,0.964285714286
233,Neural Network,K-mer Count,O113,0.928571428571
234,Neural Network,K-mer Count,O113,1.0
235,Neural Network,K-mer Count,O113,1.0
236,Neural Network,K-mer Count,O113,0.964285714286
237,Neural Network,K-mer Count,O113,0.964285714286
238,Neural Network,K-mer Count,O113,0.928571428571
239,Neural Network,K-mer Count,O113,0.964285714286
240,Neural Network,K-mer Count,O121,1.0
241,Neural Network,K-mer Count,O121,0.965517241379
242,Neural Network,K-mer Count,O121,0.965517241379
243,Neural Network,K-mer Count,O121,1.0
244,Neural Network,K-mer Count,O121,0.965517241379
245,Neural Network,K-mer Count,O121,0.931034482759
246,Neural Network,K-mer Count,O121,0.931034482759
247,Neural Network,K-mer Count,O121,0.931034482759
248,Neural Network,K-mer Count,O121,1.0
249,Neural Network,K-mer Count,O121,0.965517241379
250,Neural Network,K-mer Count,O145,0.964285714286
251,Neural Network,K-mer Count,O145,0.964285714286
252,Neural Network,K-mer Count,O145,0.964285714286
253,Neural Network,K-mer Count,O145,0.928571428571
254,Neural Network,K-mer Count,O145,1.0
255,Neural Network,K-mer Count,O145,0.964285714286
256,Neural Network,K-mer Count,O145,1.0
257,Neural Network,K-mer Count,O145,0.964285714286
258,Neural Network,K-mer Count,O145,1.0
259,Neural Network,K-mer Count,O145,0.964285714286
260,Neural Network,K-mer Count,O157,0.931034482759
261,Neural Network,K-mer Count,O157,0.931034482759
262,Neural Network,K-mer Count,O157,0.965517241379
263,Neural Network,K-mer Count,O157,0.965517241379
264,Neural Network,K-mer Count,O157,1.0
265,Neural Network,K-mer Count,O157,0.965517241379
266,Neural Network,K-mer Count,O157,1.0
267,Neural Network,K-mer Count,O157,0.965517241379
268,Neural Network,K-mer Count,O157,1.0
269,Neural Network,K-mer Count,O157,1.0
270,Neural Network,K-mer Count,O26,1.0
271,Neural Network,K-mer Count,O26,0.857142857143
272,Neural Network,K-mer Count,O26,1.0
273,Neural Network,K-mer Count,O26,0.964285714286
274,Neural Network,K-mer Count,O26,0.928571428571
275,Neural Network,K-mer Count,O26,1.0
276,Neural Network,K-mer Count,O26,1.0
277,Neural Network,K-mer Count,O26,1.0
278,Neural Network,K-mer Count,O26,0.928571428571
279,Neural Network,K-mer Count,O26,0.964285714286
280,Neural Network,K-mer Count,O45,0.965517241379
281,Neural Network,K-mer Count,O45,0.965517241379
282,Neural Network,K-mer Count,O45,0.965517241379
283,Neural Network,K-mer Count,O45,0.965517241379
284,Neural Network,K-mer Count,O45,0.931034482759
285,Neural Network,K-mer Count,O45,0.931034482759
286,Neural Network,K-mer Count,O45,0.965517241379
287,Neural Network,K-mer Count,O45,0.931034482759
288,Neural Network,K-mer Count,O45,1.0
289,Neural Network,K-mer Count,O45,0.965517241379
290,Neural Network,K-mer Count,O91,1.0
291,Neural Network,K-mer Count,O91,1.0
292,Neural Network,K-mer Count,O91,0.928571428571
293,Neural Network,K-mer Count,O91,1.0
294,Neural Network,K-mer Count,O91,1.0
295,Neural Network,K-mer Count,O91,1.0
296,Neural Network,K-mer Count,O91,0.928571428571
297,Neural Network,K-mer Count,O91,1.0
298,Neural Network,K-mer Count,O91,1.0
299,Neural Network,K-mer Count,O91,1.0
300,Support Vector Machine,Omnilog AUC,O103,0.925925925926
301,Support Vector Machine,Omnilog AUC,O103,0.892857142857
302,Support Vector Machine,Omnilog AUC,O103,0.821428571429
303,Support Vector Machine,Omnilog AUC,O103,0.925925925926
304,Support Vector Machine,Omnilog AUC,O103,0.892857142857
305,Support Vector Machine,Omnilog AUC,O103,0.892857142857
306,Support Vector Machine,Omnilog AUC,O103,0.892857142857
307,Support Vector Machine,Omnilog AUC,O103,0.928571428571
308,Support Vector Machine,Omnilog AUC,O103,0.925925925926
309,Support Vector Machine,Omnilog AUC,O103,0.925925925926
310,Support Vector Machine,Omnilog AUC,O104,0.931034482759
311,Support Vector Machine,Omnilog AUC,O104,0.862068965517
312,Support Vector Machine,Omnilog AUC,O104,0.931034482759
313,Support Vector Machine,Omnilog AUC,O104,0.892857142857
314,Support Vector Machine,Omnilog AUC,O104,0.928571428571
315,Support Vector Machine,Omnilog AUC,O104,0.892857142857
316,Support Vector Machine,Omnilog AUC,O104,0.896551724138
317,Support Vector Machine,Omnilog AUC,O104,0.785714285714
318,Support Vector Machine,Omnilog AUC,O104,0.892857142857
319,Support Vector Machine,Omnilog AUC,O104,0.931034482759
320,Support Vector Machine,Omnilog AUC,O111,0.892857142857
321,Support Vector Machine,Omnilog AUC,O111,0.931034482759
322,Support Vector Machine,Omnilog AUC,O111,0.931034482759
323,Support Vector Machine,Omnilog AUC,O111,0.896551724138
324,Support Vector Machine,Omnilog AUC,O111,0.896551724138
325,Support Vector Machine,Omnilog AUC,O111,0.931034482759
326,Support Vector Machine,Omnilog AUC,O111,0.928571428571
327,Support Vector Machine,Omnilog AUC,O111,0.896551724138
328,Support Vector Machine,Omnilog AUC,O111,0.896551724138
329,Support Vector Machine,Omnilog AUC,O111,0.931034482759
330,Support Vector Machine,Omnilog AUC,O113,0.928571428571
331,Support Vector Machine,Omnilog AUC,O113,0.928571428571
332,Support Vector Machine,Omnilog AUC,O113,0.964285714286
333,Support Vector Machine,Omnilog AUC,O113,0.892857142857
334,Support Vector Machine,Omnilog AUC,O113,0.928571428571
335,Support Vector Machine,Omnilog AUC,O113,0.964285714286
336,Support Vector Machine,Omnilog AUC,O113,0.925925925926
337,Support Vector Machine,Omnilog AUC,O113,0.964285714286
338,Support Vector Machine,Omnilog AUC,O113,0.892857142857
339,Support Vector Machine,Omnilog AUC,O113,0.964285714286
340,Support Vector Machine,Omnilog AUC,O121,0.964285714286
341,Support Vector Machine,Omnilog AUC,O121,1.0
342,Support Vector Machine,Omnilog AUC,O121,1.0
343,Support Vector Machine,Omnilog AUC,O121,1.0
344,Support Vector Machine,Omnilog AUC,O121,0.965517241379
345,Support Vector Machine,Omnilog AUC,O121,0.965517241379
346,Support Vector Machine,Omnilog AUC,O121,0.965517241379
347,Support Vector Machine,Omnilog AUC,O121,0.965517241379
348,Support Vector Machine,Omnilog AUC,O121,1.0
349,Support Vector Machine,Omnilog AUC,O121,0.964285714286
350,Support Vector Machine,Omnilog AUC,O145,0.928571428571
351,Support Vector Machine,Omnilog AUC,O145,0.964285714286
352,Support Vector Machine,Omnilog AUC,O145,0.892857142857
353,Support Vector Machine,Omnilog AUC,O145,0.892857142857
354,Support Vector Machine,Omnilog AUC,O145,0.928571428571
355,Support Vector Machine,Omnilog AUC,O145,0.964285714286
356,Support Vector Machine,Omnilog AUC,O145,0.928571428571
357,Support Vector Machine,Omnilog AUC,O145,0.928571428571
358,Support Vector Machine,Omnilog AUC,O145,0.928571428571
359,Support Vector Machine,Omnilog AUC,O145,0.964285714286
360,Support Vector Machine,Omnilog AUC,O157,1.0
361,Support Vector Machine,Omnilog AUC,O157,1.0
362,Support Vector Machine,Omnilog AUC,O157,1.0
363,Support Vector Machine,Omnilog AUC,O157,0.928571428571
364,Support Vector Machine,Omnilog AUC,O157,0.964285714286
365,Support Vector Machine,Omnilog AUC,O157,0.964285714286
366,Support Vector Machine,Omnilog AUC,O157,0.931034482759
367,Support Vector Machine,Omnilog AUC,O157,1.0
368,Support Vector Machine,Omnilog AUC,O157,1.0
369,Support Vector Machine,Omnilog AUC,O157,1.0
370,Support Vector Machine,Omnilog AUC,O26,0.964285714286
371,Support Vector Machine,Omnilog AUC,O26,0.928571428571
372,Support Vector Machine,Omnilog AUC,O26,0.964285714286
373,Support Vector Machine,Omnilog AUC,O26,0.892857142857
374,Support Vector Machine,Omnilog AUC,O26,1.0
375,Support Vector Machine,Omnilog AUC,O26,0.964285714286
376,Support Vector Machine,Omnilog AUC,O26,0.962962962963
377,Support Vector Machine,Omnilog AUC,O26,0.928571428571
378,Support Vector Machine,Omnilog AUC,O26,0.964285714286
379,Support Vector Machine,Omnilog AUC,O26,0.964285714286
380,Support Vector Machine,Omnilog AUC,O45,0.931034482759
381,Support Vector Machine,Omnilog AUC,O45,0.928571428571
382,Support Vector Machine,Omnilog AUC,O45,0.965517241379
383,Support Vector Machine,Omnilog AUC,O45,0.931034482759
384,Support Vector Machine,Omnilog AUC,O45,0.896551724138
385,Support Vector Machine,Omnilog AUC,O45,0.931034482759
386,Support Vector Machine,Omnilog AUC,O45,0.931034482759
387,Support Vector Machine,Omnilog AUC,O45,0.931034482759
388,Support Vector Machine,Omnilog AUC,O45,0.892857142857
389,Support Vector Machine,Omnilog AUC,O45,0.931034482759
390,Support Vector Machine,Omnilog AUC,O91,0.928571428571
391,Support Vector Machine,Omnilog AUC,O91,0.892857142857
392,Support Vector Machine,Omnilog AUC,O91,0.892857142857
393,Support Vector Machine,Omnilog AUC,O91,1.0
394,Support Vector Machine,Omnilog AUC,O91,0.892857142857
395,Support Vector Machine,Omnilog AUC,O91,0.892857142857
396,Support Vector Machine,Omnilog AUC,O91,0.928571428571
397,Support Vector Machine,Omnilog AUC,O91,0.962962962963
398,Support Vector Machine,Omnilog AUC,O91,0.928571428571
399,Support Vector Machine,Omnilog AUC,O91,0.928571428571
400,Neural Network,Omnilog AUC,O103,0.928571428571
401,Neural Network,Omnilog AUC,O103,0.888888888889
402,Neural Network,Omnilog AUC,O103,0.964285714286
403,Neural Network,Omnilog AUC,O103,0.928571428571
404,Neural Network,Omnilog AUC,O103,0.928571428571
405,Neural Network,Omnilog AUC,O103,0.964285714286
406,Neural Network,Omnilog AUC,O103,0.925925925926
407,Neural Network,Omnilog AUC,O103,0.928571428571
408,Neural Network,Omnilog AUC,O103,0.964285714286
409,Neural Network,Omnilog AUC,O103,0.925925925926
410,Neural Network,Omnilog AUC,O104,0.931034482759
411,Neural Network,Omnilog AUC,O104,0.896551724138
412,Neural Network,Omnilog AUC,O104,0.896551724138
413,Neural Network,Omnilog AUC,O104,0.896551724138
414,Neural Network,Omnilog AUC,O104,0.931034482759
415,Neural Network,Omnilog AUC,O104,0.896551724138
416,Neural Network,Omnilog AUC,O104,0.965517241379
417,Neural Network,Omnilog AUC,O104,0.896551724138
418,Neural Network,Omnilog AUC,O104,0.896551724138
419,Neural Network,Omnilog AUC,O104,0.931034482759
420,Neural Network,Omnilog AUC,O111,0.931034482759
421,Neural Network,Omnilog AUC,O111,0.931034482759
422,Neural Network,Omnilog AUC,O111,0.931034482759
423,Neural Network,Omnilog AUC,O111,0.931034482759
424,Neural Network,Omnilog AUC,O111,0.965517241379
425,Neural Network,Omnilog AUC,O111,0.931034482759
426,Neural Network,Omnilog AUC,O111,0.931034482759
427,Neural Network,Omnilog AUC,O111,0.931034482759
428,Neural Network,Omnilog AUC,O111,0.965517241379
429,Neural Network,Omnilog AUC,O111,0.931034482759
430,Neural Network,Omnilog AUC,O113,0.964285714286
431,Neural Network,Omnilog AUC,O113,0.928571428571
432,Neural Network,Omnilog AUC,O113,0.964285714286
433,Neural Network,Omnilog AUC,O113,0.928571428571
434,Neural Network,Omnilog AUC,O113,0.928571428571
435,Neural Network,Omnilog AUC,O113,0.928571428571
436,Neural Network,Omnilog AUC,O113,0.964285714286
437,Neural Network,Omnilog AUC,O113,0.928571428571
438,Neural Network,Omnilog AUC,O113,0.964285714286
439,Neural Network,Omnilog AUC,O113,0.928571428571
440,Neural Network,Omnilog AUC,O121,1.0
441,Neural Network,Omnilog AUC,O121,0.964285714286
442,Neural Network,Omnilog AUC,O121,0.965517241379
443,Neural Network,Omnilog AUC,O121,0.965517241379
444,Neural Network,Omnilog AUC,O121,0.964285714286
445,Neural Network,Omnilog AUC,O121,0.965517241379
446,Neural Network,Omnilog AUC,O121,0.931034482759
447,Neural Network,Omnilog AUC,O121,1.0
448,Neural Network,Omnilog AUC,O121,1.0
449,Neural Network,Omnilog AUC,O121,0.964285714286
450,Neural Network,Omnilog AUC,O145,0.962962962963
451,Neural Network,Omnilog AUC,O145,0.928571428571
452,Neural Network,Omnilog AUC,O145,0.928571428571
453,Neural Network,Omnilog AUC,O145,1.0
454,Neural Network,Omnilog AUC,O145,0.962962962963
455,Neural Network,Omnilog AUC,O145,0.964285714286
456,Neural Network,Omnilog AUC,O145,0.964285714286
457,Neural Network,Omnilog AUC,O145,0.928571428571
458,Neural Network,Omnilog AUC,O145,0.928571428571
459,Neural Network,Omnilog AUC,O145,0.925925925926
460,Neural Network,Omnilog AUC,O157,0.965517241379
461,Neural Network,Omnilog AUC,O157,0.964285714286
462,Neural Network,Omnilog AUC,O157,1.0
463,Neural Network,Omnilog AUC,O157,1.0
464,Neural Network,Omnilog AUC,O157,0.965517241379
465,Neural Network,Omnilog AUC,O157,1.0
466,Neural Network,Omnilog AUC,O157,0.964285714286
467,Neural Network,Omnilog AUC,O157,0.965517241379
468,Neural Network,Omnilog AUC,O157,1.0
469,Neural Network,Omnilog AUC,O157,0.931034482759
470,Neural Network,Omnilog AUC,O26,1.0
471,Neural Network,Omnilog AUC,O26,0.892857142857
472,Neural Network,Omnilog AUC,O26,0.964285714286
473,Neural Network,Omnilog AUC,O26,1.0
474,Neural Network,Omnilog AUC,O26,0.964285714286
475,Neural Network,Omnilog AUC,O26,0.925925925926
476,Neural Network,Omnilog AUC,O26,0.964285714286
477,Neural Network,Omnilog AUC,O26,0.964285714286
478,Neural Network,Omnilog AUC,O26,0.964285714286
479,Neural Network,Omnilog AUC,O26,1.0
480,Neural Network,Omnilog AUC,O45,0.896551724138
481,Neural Network,Omnilog AUC,O45,0.931034482759
482,Neural Network,Omnilog AUC,O45,0.896551724138
483,Neural Network,Omnilog AUC,O45,0.965517241379
484,Neural Network,Omnilog AUC,O45,0.896551724138
485,Neural Network,Omnilog AUC,O45,0.931034482759
486,Neural Network,Omnilog AUC,O45,0.896551724138
487,Neural Network,Omnilog AUC,O45,0.931034482759
488,Neural Network,Omnilog AUC,O45,0.896551724138
489,Neural Network,Omnilog AUC,O45,0.931034482759
490,Neural Network,Omnilog AUC,O91,0.821428571429
491,Neural Network,Omnilog AUC,O91,0.964285714286
492,Neural Network,Omnilog AUC,O91,0.928571428571
493,Neural Network,Omnilog AUC,O91,0.928571428571
494,Neural Network,Omnilog AUC,O91,0.964285714286
495,Neural Network,Omnilog AUC,O91,0.888888888889
496,Neural Network,Omnilog AUC,O91,0.962962962963
497,Neural Network,Omnilog AUC,O91,0.962962962963
498,Neural Network,Omnilog AUC,O91,0.925925925926
499,Neural Network,Omnilog AUC,O91,0.964285714286
500,Random Forest,Omnilog AUC,O103,0.928571428571
501,Random Forest,Omnilog AUC,O103,0.928571428571
502,Random Forest,Omnilog AUC,O103,0.928571428571
503,Random Forest,Omnilog AUC,O103,0.925925925926
504,Random Forest,Omnilog AUC,O103,0.964285714286
505,Random Forest,Omnilog AUC,O103,0.925925925926
506,Random Forest,Omnilog AUC,O103,0.928571428571
507,Random Forest,Omnilog AUC,O103,0.925925925926
508,Random Forest,Omnilog AUC,O103,0.928571428571
509,Random Forest,Omnilog AUC,O103,0.964285714286
510,Random Forest,Omnilog AUC,O104,0.931034482759
511,Random Forest,Omnilog AUC,O104,0.931034482759
512,Random Forest,Omnilog AUC,O104,0.931034482759
513,Random Forest,Omnilog AUC,O104,0.931034482759
514,Random Forest,Omnilog AUC,O104,0.931034482759
515,Random Forest,Omnilog AUC,O104,0.931034482759
516,Random Forest,Omnilog AUC,O104,0.931034482759
517,Random Forest,Omnilog AUC,O104,0.928571428571
518,Random Forest,Omnilog AUC,O104,0.931034482759
519,Random Forest,Omnilog AUC,O104,0.931034482759
520,Random Forest,Omnilog AUC,O111,0.931034482759
521,Random Forest,Omnilog AUC,O111,0.931034482759
522,Random Forest,Omnilog AUC,O111,0.928571428571
523,Random Forest,Omnilog AUC,O111,0.931034482759
524,Random Forest,Omnilog AUC,O111,0.931034482759
525,Random Forest,Omnilog AUC,O111,0.931034482759
526,Random Forest,Omnilog AUC,O111,0.931034482759
527,Random Forest,Omnilog AUC,O111,0.928571428571
528,Random Forest,Omnilog AUC,O111,0.928571428571
