,Strain,Otype,Htype,Serotype,Host,WGS,LSPA6
36,18-9156-contigs-all,O145,H28,O145:NM,Human,1,N/A
37,18-9396-contigs-all,O45,H2,O45:H2,Human,1,N/A
38,18-9766-contigs-all,O145,H28,O145:NM,Human,1,N/A
39,18-9767-contigs-all,O113,H21,O113:H21,Human,1,N/A
40,18-9773-contigs-all,O103,H2,O103:H2,Human,1,N/A
41,18-9794-contigs-all,O145,H28,O145:NM,Human,1,N/A
42,18-9890-contigs-all,O121,H19,O121:H19,Human,1,N/A
43,18-9891-contigs-all,O121,H19,O121:H19,Human,1,N/A
44,18-9893-contigs-all,O121,H19,O121:H19,Human,1,N/A
45,18-9894-contigs-all,O121,H19,O121:H19,Human,1,N/A
46,18-9982-contigs-all,O145,H28,O145:NM,Human,1,N/A
47,18-9983-contigs-all,O145,H28,O145:NM,Human,1,N/A
0,ECI-2624,O26,H11,O26:H11,Bovine,0,
1,ECI-2631,O45,H2,O45:H2,Human,0,
2,ECI-2654,O93,H28,O93:H28,Bovine,0,
3,ECI-2836,O185,H7,O185:H7,Water,1,
4,ECI-2859,O73,H2,O73:H2,Human,1,
5,ECI-0013,O145,NM,O145:NM,Human,0,
6,ECI-0158,O26,H11,O26:H11,Human,0,
7,ECI-1817,O121,NM,O121:NM,Human,0,
8,ECI-1841,O113,NM,O113:NM,Bovine,0,
9,ECI-2584,O121,H7,O121:H7,Water,0,
10,ECI-2895,O46,H38,O46:H38,Water,1,
11,ECI-2995,O46,H38,O46:H38,Water,1,
12,ECI-0008,O91,H21,O91:H21,Human,1,
13,ECI-0015,O121,H19,O121:H19,Human,1,
14,ECI-0123,O26,H11,O26:H11,Human,1,
15,ECI-0132,O111,H8,O111:H8,Human,1,
16,ECI-0217,O157,H7,O157:H7,Human,1,
17,ECI-0249,O157,H7,O157:H7,Human,1,
18,ECI-0258,O157,H7,O157:H7,Human,1,
19,ECI-0270,O157,H7,O157:H7,Human,1,
20,ECI-0272,O157,H7,O157:H7,Human,1,21.0
21,ECI-0351,O157,H7,O157:H7,Human,1,
22,ECI-0357,O157,H7,O157:H7,Human,1,
23,ECI-0497,O157,H7,O157:H7,Human,1,
24,ECI-0504,O157,H7,O157:H7,Human,1,
25,ECI-0715,O111,H8,O111:H8,Bovine,1,
26,ECI-0855,O157,H7,O157:H7,Human,1,
27,ECI-0857,O157,H7,O157:H7,Human,1,
28,ECI-0882,O157,H7,O157:H7,Human,1,
29,ECI-0887,O157,H7,O157:H7,Water,1,
30,ECI-1146,O157,H7,O157:H7,Water,1,11.0
31,ECI-1156,O157,H7,O157:H7,Water,1,11.0
32,ECI-1364,O26,H11,O26:H11,Bovine,1,
33,ECI-1437,O157,H7,O157:H7,Bovine,1,11.0
34,ECI-1618,O157,H7,O157:H7,Water,1,11.0
35,ECI-1717,O157,H7,O157:H7,Bovine,1,22.0
36,ECI-1718,O157,H7,O157:H7,Water,1,11.0
37,ECI-1757,O157,H7,O157:H7,Human,1,11.0
38,ECI-1768,O157,H7,O157:H7,Human,1,11.0
39,ECI-1830,O113,H4,O113:H4,Bovine,1,
40,ECI-1839,O91,H21,O91:H21,Human,1,
41,ECI-1842,O91,H21,O91:H21,Human,1,
42,ECI-1848,O104,H21,O104:H21,Human,1,
43,ECI-1853,O103,H2,O103:H2,Human,1,
44,ECI-1854,O145,H28,O145:H28,Human,1,
45,ECI-1856,O113,H21,O113:H21,Human,1,
46,ECI-1858,O91,H21,O91:H21,Human,1,
47,ECI-1862,O111,H8,O111:H8,Human,1,
48,ECI-1864,O157,H7,O157:H7,Human,1,21.0
49,ECI-1871,O145,H28,O145:H28,Human,1,
50,ECI-1907,O157,H7,O157:H7,Bovine,1,21.0
51,ECI-1908,O157,H7,O157:H7,Bovine,1,21.0
52,ECI-1909,O157,H7,O157:H7,Bovine,1,21.0
53,ECI-1910,O157,H7,O157:H7,Bovine,1,21.0
54,ECI-1911,O157,H7,O157:H7,Bovine,1,21.0
55,ECI-1912,O157,H7,O157:H7,Bovine,1,21.0
56,ECI-1914,O157,H7,O157:H7,Human,1,21.0
57,ECI-2121,O157,H7,O157:H7,Avian.Goose,1,11.0
58,ECI-2223,O157,H7,O157:H7,Water,1,11.0
59,ECI-2297,O121,H19,O121:H19,Human,1,
60,ECI-2298,O103,H2,O103:H2,Human,1,
61,ECI-2303,O45,H2,O45:H2,Human,1,
62,ECI-2306,O145,H28,O145:H28,Human,1,
63,ECI-2307,O91,H21,O91:H21,Human,1,
64,ECI-2309,O121,H19,O121:H19,Human,1,
65,ECI-2315,O103,H11,O103:H11,Human,1,
66,ECI-2324,O157,H7,O157:H7,Water,1,11.0
67,ECI-2355,O157,H7,O157:H7,Water,1,11.0
68,ECI-2358,O157,H7,O157:H7,Water,1,11.0
69,ECI-2359,O157,H7,O157:H7,Water,1,11.0
70,ECI-2386,O157,H7,O157:H7,Human,1,11.0
71,ECI-2403,O157,H7,O157:H7,Meat,1,11.0
72,ECI-2570,O111,H8,O111:H8,Bovine,1,
73,ECI-2571,O111,H8,O111:H8,Bovine,1,
74,ECI-2572,O111,H8,O111:H8,Human,1,
75,ECI-2573,O111,H8,O111:H8,Bovine,1,
76,ECI-2577,O111,H8,O111:H8,Human,1,
77,ECI-2578,O121,H7,O121:H7,Bovine,1,
78,ECI-2579,O121,H19,O121:H19,Human,1,
79,ECI-2580,O121,H19,O121:H19,Human,1,
80,ECI-2583,O121,H19,O121:H19,Bovine,1,
81,ECI-2585,O145,H28,O145:H28,Human,1,
82,ECI-2586,O145,H28,O145:H28,Human,1,
83,ECI-2587,O145,H25,O145:H25,Human,1,
84,ECI-2588,O145,H28,O145:H28,Human,1,
85,ECI-2591,O145,H28,O145:H28,Bovine,1,
86,ECI-2592,O145,H28,O145:H28,Bovine,1,
87,ECI-2593,O113,H4,O113:H4,Bovine,1,
88,ECI-2595,O113,H21,O113:H21,Human,1,
89,ECI-2597,O113,H4,O113:H4,Human,1,
90,ECI-2599,O113,H21,O113:H21,Bovine,1,
91,ECI-2600,O113,H21,O113:H21,Human,1,
92,ECI-2601,O113,H21,O113:H21,Human,1,
93,ECI-2602,O113,H21,O113:H21,Bovine,1,
94,ECI-2603,O104,H7,O104:H7,Bovine,1,
95,ECI-2604,O104,H7,O104:H7,Bovine,1,
96,ECI-2605,O104,H7,O104:H7,Ovine,1,
97,ECI-2606,O104,H7,O104:H7,Ovine,1,
98,ECI-2607,O8,H21,O8:H21,Bovine,1,
99,ECI-2608,O104,H21,O104:H21,Human,1,
100,ECI-2609,O104,H2,O104:H2,Water,1,
101,ECI-2610,O91,H14,O91:H14,Ovine,1,
102,ECI-2611,O91,H14,O91:H14,Ovine,1,
103,ECI-2614,O91,H21,O91:H21,Bovine,1,
104,ECI-2615,O91,H21,O91:H21,Bovine,1,
105,ECI-2616,O91,H21,O91:H21,Bovine,1,
106,ECI-2617,O26,H11,O26:H11,Bovine,1,
107,ECI-2618,O26,H11,O26:H11,Human,1,
108,ECI-2619,O26,H11,O26:H11,Bovine,1,
109,ECI-2622,O26,H11,O26:H11,Human,1,
110,ECI-2626,O26,H11,O26:H11,Human,1,
111,ECI-2627,O45,H2,O45:H2,Bovine,1,
112,ECI-2628,O45,H2,O45:H2,Human,1,
113,ECI-2629,O45,H2,O45:H2,Human,1,
114,ECI-2630,O45,H2,O45:H2,Human,1,
115,ECI-2632,O45,H51,O45:H51,Bovine,1,
116,ECI-2633,O103,H2,O103:H2,Bovine,1,
117,ECI-2634,O103,H2,O103:H2,Human,1,
118,ECI-2637,O103,H2,O103:H2,Human,1,
119,ECI-2638,O103,H2,O103:H2,Ovine,1,
120,ECI-2639,O103,H2,O103:H2,Bovine,1,
121,ECI-2640,O103,H2,O103:H2,Bovine,1,
122,ECI-2642,O103,H2,O103:H2,Bovine,1,
123,ECI-2644,O139,H19,O139:H19,Bovine,1,
124,ECI-2681,O109,H5,O109:H5,Bovine,1,
125,ECI-2688,O46,H38,O46:H38,Bovine,1,
126,ECI-2699,O26,H11,O26:H11,Bovine,1,
127,ECI-2701,O111,H11,O111:H11,Bovine,1,
128,ECI-2754,O130,H38,O130:H38,Bovine,1,
129,ECI-2795,O5,H9,O5:H9,Water,1,
130,ECI-2856,O165,H25,O165:H25,Human,1,
131,ECI-2969,O2,H29,O2:H29,Water,1,
132,ECI-2978,O157,H7,O157:H7,Water,1,11.0
133,ECI-2979,O157,H7,O157:H7,Water,1,21.0
134,ECI-2980,O157,H7,O157:H7,Water,1,11.0
135,ECI-3004,O157,H7,O157:H7,Water,1,21.0
136,ECI-3005,O157,H7,O157:H7,Water,1,21.0
137,ECI-3006,O157,H7,O157:H7,Water,1,22.0
138,ECI-3033,O157,H7,O157:H7,Water,1,11.0
139,ECI-3034,O157,H7,O157:H7,Water,1,11.0
140,ECI-3035,O157,H7,O157:H7,Water,1,21.0
141,ECI-3065,O26,H11,O26:H11,Water,1,
142,ON-2011,O104,H4,O104:H4,Human,1,
143,EDL933,O157,H7,O157:H7,Human,1,
144,Sakai,O157,H7,O157:H7,Human,1,
